N,backend_name,case,circuit_depth,circuit_depth_t,converged,discretisation_order,err_alg,err_disc,hhl_epsilon,hhl_scale_c,hhl_trotter_steps,kappa,max_abs_err,max_rel_err,n_gates_2q,n_gates_total,n_qubits,n_timing_repeats,notes,phase_lookup_time_s,proportionality_residual,qsvt_alpha,qsvt_angle_method,qsvt_degree,qsvt_kappa_eff,qsvt_max_degree,qsvt_phases_cached,random_seed,rel_l2_err,residual,rms_err,solver,success_probability,vqls_final_cost,vqls_n_evaluations,vqls_n_layers,vqls_n_restarts,vqls_optimiser_success,wall_time_mean_s,wall_time_s,wall_time_std_s
4,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,,True,2,0.0,0.0018671959589999577,,,,9.472135954999596,0.0032337594535281067,0.2480565831957199,,,,10,,,0.0005337809851219395,,,,,,,,0.0018671959589999577,1.2594253343322215e-16,0.002688075078357516,Thomas,,,,,,,4.613739438354969e-05,3.3671967685222626e-05,2.7885460509170885e-05
4,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,10744,True,2,0.017720186941278932,0.0018671959589999577,0.01,5.8827378254781575,100,9.472135954999596,0.03252728351782319,2.4951165743842325,3153,15357,2,1,,,0.007799881075055562,,,,,,,,0.01588755557310036,0.012028706301518567,0.022872233621876698,HHL,,,,,,,,62.383578125038184,
4,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,12,True,2,4.2031000719401485e-06,0.0018671959589999577,,,,9.472135954999596,0.003226416907399887,0.24744399154552726,2,21,2,1,,,0.0005322842931395298,,,,,,,42,0.0018630252004307307,2.672746780514969e-06,0.0026820707208,VQLS,,7.143841074253032e-12,330,6,4,True,,4.234421457978897,
4,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,2363,62600,True,2,0.000762903508078852,0.0018671959589999577,,,,9.472135954999596,0.004630750731041466,0.3552175789451447,12992,,2,1,,8.936191443353891e-05,0.0008151832278674125,3.6180339887498953,auto,1181,9.472135954999587,,True,,0.0026266603045221036,0.00043038066185348045,0.0037814242634064046,QSVT,,,,,,,,0.4864988960325718,
4,aer_simulator_statevector (CPU),1D_Poisson_fS_hom,,,True,2,0.0,0.0335583911026996,,,,9.472135954999596,0.003233759453527954,3.355839110269966,,,,10,,,1.984858884363439e-16,,,,,,,,0.0335583911026996,4.813662290128891e-16,0.0026880750783574254,Thomas,,,,,,,4.717119736596942e-05,3.331201151013374e-05,3.094359835216193e-05
4,aer_simulator_statevector (CPU),1D_Poisson_fS_hom,,10744,True,2,0.0005076385244948963,0.0335583911026996,0.01,0.165603791158323,100,9.472135954999596,0.003263792526483039,3.387005980370434,3153,15357,2,1,,,0.000507500383282721,,,,,,,,0.03354998602322682,0.003478438778941007,0.002687401819481776,HHL,,,,,,,,62.55034319497645,
4,aer_simulator_statevector (CPU),1D_Poisson_fS_hom,,12,True,2,2.997439945170094e-07,0.0335583911026996,,,,9.472135954999596,0.003233772617601105,3.355898902798153,2,21,2,1,,,2.9974399451046334e-07,,,,,,,42,0.03355839110279506,1.1364718261144334e-06,0.0026880750783650716,VQLS,,1.291411422243982e-12,214,6,4,True,,3.813545966986567,
4,aer_simulator_statevector (CPU),1D_Poisson_fS_hom,2363,62600,True,2,8.720249664848703e-16,0.0335583911026996,,,,9.472135954999596,0.003233759453528065,3.3558391102700815,12992,,2,1,,0.00010367296636104584,9.528897799563015e-16,3.6180339887498953,auto,1181,9.472135954999587,,True,,0.03355839110269957,6.7589688661786896e-15,0.002688075078357423,QSVT,,,,,,,,0.49437349603977054,
4,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,,,True,2,0.0,2.958754302057199e-16,,,,9.472135954999596,2.7755575615628914e-16,5.78241158658936e-14,,,,10,,,1.9476905234939643e-16,,,,,,,,2.958754302057199e-16,3.411132766008902e-16,1.5202354861220294e-16,Thomas,,,,,,,9.908881038427353e-05,3.589096013456583e-05,0.00018682381199388613
4,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,,10744,True,2,0.009855784299071928,2.958754302057199e-16,0.01,1.1574614456371464,100,9.472135954999596,0.007469885756022698,1.7621228258341004,3153,15357,2,1,,,0.005787527623081798,,,,,,,,0.009855784299072037,0.017916650479052016,0.005063993662669455,HHL,,,,,,,,59.27163699106313,
