N,backend_name,case,circuit_depth,circuit_depth_t,converged,discretisation_order,err_alg,err_disc,hhl_epsilon,hhl_scale_c,hhl_trotter_steps,kappa,max_abs_err,max_rel_err,n_gates_2q,n_gates_total,n_qubits,n_timing_repeats,notes,phase_lookup_time_s,proportionality_residual,qsvt_alpha,qsvt_angle_method,qsvt_degree,qsvt_kappa_eff,qsvt_max_degree,qsvt_phases_cached,random_seed,rel_l2_err,residual,rms_err,solver,success_probability,vqls_final_cost,vqls_n_evaluations,vqls_n_layers,vqls_n_restarts,vqls_optimiser_success,wall_time_mean_s,wall_time_s,wall_time_std_s
4,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,,True,4,0.0,9.317438585666601e-05,,,,11.947710174364115,0.00016136686116863252,0.012378197202898773,,,,10,,,2.659075653135713e-05,,,,,,,,9.317438585666601e-05,2.9787767711567534e-16,0.00013413682873259506,Thomas,,,,,,,4.979618825018406e-05,2.6360969059169292e-05,6.073853150519466e-05
4,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,7771,True,4,0.004592399767125122,9.317438585666601e-05,0.01,2.8905290146130302,100,11.947710174364115,0.010433473973521679,0.8003353192859136,1839,11081,2,1,,,0.0022293734092922487,,,,,,,,0.0045052027156386254,0.00833691153583903,0.006485834057472415,HHL,,,,,,,,26.256325490074232,
4,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,12,True,4,1.0082406470867979e-05,9.317438585666601e-05,,,,11.947710174364115,0.0001799146416359143,0.01380096816490046,2,21,2,1,,,3.020282437362281e-05,,,,,,,42,0.00010322507326982764,4.889267219078345e-06,0.00014860612009189687,VQLS,,2.3904656032414096e-11,454,6,4,True,,3.1699476040666923,
4,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,3223,85390,True,4,0.0006479128419618083,9.317438585666601e-05,,,,11.947710174364115,0.0013325835601816216,0.10222038142039186,17722,,2,1,,0.00010966300033032894,0.00025078905786986717,56.506577808748226,auto,1611,11.947710174364115,,True,,0.0007408641199991458,0.00031234384156672215,0.0010665717049246361,QSVT,,,,,,,,0.7620482339989394,
4,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,,True,4,0.0,7.026433144529026e-16,,,,11.947710174364115,1.5612511283791264e-17,1.9515639104739095e-13,,,,10,,,6.891296813606304e-16,,,,,,,,7.026433144529026e-16,6.4204996371373e-17,8.88781302544432e-18,Thomas,,,,,,,5.666470387950539e-05,2.6950961910188198e-05,6.897221144910196e-05
4,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,7771,True,4,0.001509464543827792,7.026433144529026e-16,0.01,0.025320110516634953,100,11.947710174364115,2.6714222308196756e-05,0.3339277788524597,1839,11081,2,1,,,0.001236327623108408,,,,,,,,0.0015094645438283056,0.003542685572594767,1.909338402305802e-05,HHL,,,,,,,,26.26096833695192,
4,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,12,True,4,0.0005127299012486613,7.026433144529026e-16,,,,11.947710174364115,7.955220647584e-06,0.09944025809480007,2,21,2,1,,,0.0005126899691107719,,,,,,,42,0.0005127299012485394,0.00012959245791935273,6.485577249674383e-06,VQLS,,1.6794205026648967e-08,1000,6,4,True,,6.766287871054374,
4,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,3223,85390,True,4,6.664353608383217e-14,7.026433144529026e-16,,,,11.947710174364115,1.222980050563649e-15,1.5287250632045625e-11,17722,,2,1,,0.00011625397019088268,5.420681254946713e-14,56.506577808748226,auto,1611,11.947710174364115,,True,,6.614429470746564e-14,1.5639596210813155e-13,8.366665020040488e-16,QSVT,,,,,,,,0.7815280890790746,
4,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,,,True,4,0.0,,,,,11.947710174364115,,,,,,10,reference_no_exact,,,,,,,,,,,4.465316986174866e-16,,Thomas,,,,,,,4.6286359429359435e-05,2.823956310749054e-05,4.42442509629255e-05
4,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,,7771,True,4,0.027348461164382047,,0.01,158121584.87899843,100,11.947710174364115,3122706.0518606454,4.741486916284937,1839,11081,2,1,rel_vs_thomas,,0.012284077748432017,,,,,,,,0.027348461164382047,0.075828617944979,2216517.521947707,HHL,,,,,,,,42.28194282203913,
