case,solver,N,kappa,max_rel_err,max_abs_err,residual,wall_time_s,converged,notes,rel_l2_err,rms_err,wall_time_mean_s,wall_time_std_s,n_timing_repeats,n_qubits,circuit_depth,circuit_depth_t,n_gates_total,n_gates_2q,success_probability,qsvt_degree,qsvt_max_degree,qsvt_kappa_eff,qsvt_phases_cached,vqls_final_cost,vqls_n_layers,vqls_n_restarts,hhl_epsilon,hhl_scale_c,random_seed,discretisation_order,err_disc,err_alg,proportionality_residual,phase_lookup_time_s,qsvt_alpha,qsvt_angle_method,vqls_n_evaluations,vqls_optimiser_success,hhl_trotter_steps,backend_name
1D_Poisson_fS_nonhom,Thomas,4,9.472135954999596,0.2480565831957199,0.0032337594535281067,1.2594253343322215e-16,3.6543235182762146e-05,True,,0.0018671959589999577,0.002688075078357516,4.7544389963150026e-05,2.311100875120197e-05,10,,,,,,,,,,,,,,,,,2,0.0018671959589999577,0.0,0.0005337809851219395,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_nonhom,QSVT,4,9.472135954999596,0.24815581496696945,0.003235053076435568,4.5321485486767175e-07,2.1069257855415344,True,,0.0018678755089536585,0.0026890533802257466,,,1,2,287,,,,,143,142,9.472135954999587,False,,,,,,,2,0.0018671959589999577,6.858232852545617e-07,0.0005340183866571792,0.00015175528824329376,3.6180339887498953,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_hom,Thomas,4,9.472135954999596,3.355839110269966,0.003233759453527954,4.813662290128891e-16,3.737211227416992e-05,True,,0.0335583911026996,0.0026880750783574254,5.2001699805259706e-05,2.8934664849673075e-05,10,,,,,,,,,,,,,,,,,2,0.0335583911026996,0.0,1.984858884363439e-16,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_hom,QSVT,4,9.472135954999596,3.355839110270052,0.0032337594535280373,7.12990341696216e-15,2.095478843897581,True,,0.03355839110269968,0.002688075078357432,,,1,2,287,,,,,143,142,9.472135954999587,False,,,,,,,2,0.0335583911026996,8.679877921792825e-16,9.177896561292758e-16,0.00019333511590957642,3.6180339887498953,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fL_hom,Thomas,4,9.472135954999596,5.78241158658936e-14,2.7755575615628914e-16,3.411132766008902e-16,3.862939774990082e-05,True,,2.958754302057199e-16,1.5202354861220294e-16,4.264581948518753e-05,8.002968501400467e-06,10,,,,,,,,,,,,,,,,,2,2.958754302057199e-16,0.0,1.9476905234939643e-16,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fL_hom,QSVT,4,9.472135954999596,2.0702996281604262e-05,1.1593677917698386e-07,2.8251669051376823e-07,0.11009315773844719,True,,1.4483122887748184e-07,7.441563278340542e-08,,,1,2,287,,,,,143,142,9.472135954999587,True,,,,,,,2,2.958754302057199e-16,1.4483122898449876e-07,7.757045403738736e-08,8.819624781608582e-06,3.6180339887498953,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fH_hom,Thomas,4,9.472135954999596,20.000000000000078,0.004000000000000014,0.0,3.748014569282532e-05,True,,0.12403473458920836,0.0031622776601683777,4.3521448969841006e-05,9.113138764057335e-06,10,,,,,,,,,,,,,,,,,2,0.12403473458920836,0.0,0.05547001962252298,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fH_hom,QSVT,4,9.472135954999596,19.99999221221135,0.003999998442442268,1.9469461459698336e-07,0.058434877544641495,True,,0.12403473458920836,0.0031622776601683777,,,1,2,287,,,,,143,142,9.472135954999587,True,,,,,,,2,0.12403473458920836,8.70700616285574e-08,0.055469941864584434,8.579343557357788e-06,3.6180339887498953,auto,,,,aer_simulator_statevector (CPU)
HET_1D_3a_linear_hom,Thomas,4,9.472135954999596,1.9515639104739095e-13,1.5612511283791264e-17,6.857096618313867e-17,3.758259117603302e-05,True,,7.026433144529026e-16,8.88781302544432e-18,4.989989101886749e-05,2.9651583435631992e-05,10,,,,,,,,,,,,,,,,,2,7.026433144529026e-16,0.0,6.891296813606304e-16,,,,,,,aer_simulator_statevector (CPU)
HET_1D_3a_linear_hom,QSVT,4,9.472135954999596,1.9469458076987206e-05,1.5575566461589752e-09,1.9469461395730407e-07,2.1027359534054995,True,,8.707006184190024e-08,1.1013588457284818e-09,,,1,2,287,,,,,143,142,9.472135954999587,False,,,,,,,2,7.026433144529026e-16,8.707006130854325e-08,7.787784314997072e-08,0.00020705722272396088,3.6180339887498953,auto,,,,aer_simulator_statevector (CPU)
