case,solver,N,kappa,max_rel_err,max_abs_err,residual,wall_time_s,converged,notes,rel_l2_err,rms_err,wall_time_mean_s,wall_time_std_s,n_timing_repeats,n_qubits,circuit_depth,circuit_depth_t,n_gates_total,n_gates_2q,success_probability,qsvt_degree,qsvt_max_degree,qsvt_kappa_eff,qsvt_phases_cached,vqls_final_cost,vqls_n_layers,vqls_n_restarts,hhl_epsilon,hhl_scale_c,random_seed,discretisation_order,err_disc,err_alg,proportionality_residual,phase_lookup_time_s,qsvt_alpha,qsvt_angle_method,vqls_n_evaluations,vqls_optimiser_success,hhl_trotter_steps,backend_name
1D_Poisson_fS_nonhom,Thomas,16,116.46119157748775,0.021137856202214957,0.00028761151763734283,3.8314233957164914e-16,5.874410271644592e-05,True,,0.00014445701581433407,0.00021052919590267783,7.155295461416244e-05,2.4005726285724502e-05,10,,,,,,,,,,,,,,,,,2,0.00014445701581433407,0.0,6.244495707317154e-05,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_nonhom,QSVT,16,116.46119157748775,0.021137855533992014,0.00028761150944411895,1.5213157350162939e-12,2.698603456839919,True,,0.00014445701128529295,0.0002105291893021304,,,1,4,10003,,,,,5001,5000,116.46119157748629,True,,,,,,,2,0.00014445701581433407,4.64688446520142e-12,6.244495529167903e-05,0.01310325413942337,3.965946199367804,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_hom,Thomas,16,116.46119157748775,0.28507727944408745,0.00028761151763727344,3.0929961210078592e-15,5.8712437748908997e-05,True,,0.0028507727944407685,0.0002105291959027646,7.075387984514236e-05,2.2970773682513975e-05,10,,,,,,,,,,,,,,,,,2,0.0028507727944407685,0.0,2.1303378470057647e-16,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_hom,QSVT,16,116.46119157748775,0.2850772794472767,0.0002876115176379118,4.4004670261334385e-13,2.729225927963853,True,,0.002850772794441435,0.00021052919590281382,,,1,4,10003,,,,,5001,5000,116.46119157748629,True,,,,,,,2,0.0028507727944407685,1.374454559097434e-14,1.3715406391247728e-14,0.013096963986754417,3.965946199367804,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fL_hom,Thomas,16,116.46119157748775,4.311878039512565e-14,2.220446049250313e-16,3.1244729009789858e-15,6.047263741493225e-05,True,,2.350390087137193e-16,1.1145513959121702e-16,6.441604346036911e-05,7.824909907863672e-06,10,,,,,,,,,,,,,,,,,2,2.350390087137193e-16,0.0,1.252373612115607e-16,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fL_hom,QSVT,16,116.46119157748775,8.256333764814864e-11,5.163647287531603e-13,1.9464747856481892e-12,2.700846703723073,True,,6.962845783384338e-13,3.3017708549156256e-13,,,1,4,10003,,,,,5001,5000,116.46119157748629,True,,,,,,,2,2.350390087137193e-16,6.960916269124765e-13,2.1474085256485677e-13,1.043267548084259e-05,3.965946199367804,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fH_hom,Thomas,16,116.46119157748775,5.882352941176616,0.000407083248524333,1.1349455684817536e-15,6.22924417257309e-05,True,,0.01092325518688545,0.0002569587049247436,6.783176213502884e-05,7.581336604609835e-06,10,,,,,,,,,,,,,,,,,2,0.01092325518688545,0.0,0.006534626181610103,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fH_hom,QSVT,16,116.46119157748775,5.8823529411767534,0.0004070832485243425,1.972766106995675e-12,2.837217342108488,True,,0.010923255187429086,0.00025695870493753207,,,1,4,10003,,,,,5001,5000,116.46119157748629,True,,,,,,,2,0.01092325518688545,7.811610993299914e-13,0.00653462618149921,1.743994653224945e-05,3.965946199367804,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_hom,Thomas,128,6743.67661119126,0.004942560084951873,5.007489121008901e-06,3.075845835473046e-13,0.0003370419144630432,True,,4.942560084606624e-05,3.554897513292658e-06,0.0003562968224287033,3.0119417058028907e-05,10,,,,,,,,,,,,,,,,,2,4.942560084606624e-05,0.0,2.1826802284731934e-15,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_hom,QSVT,128,6743.67661119126,0.004942561548586406,5.0074891159573864e-06,5.430446721107344e-11,2.994687870144844,True,,4.9425600858031775e-05,3.55489751415327e-06,,,1,7,10003,,,,,5001,5000,6743.676611188241,True,,,,,,,2,4.942560084606624e-05,7.767481570231899e-12,7.767481506951163e-12,0.00012786686420440674,3.9994069396902785,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fL_hom,Thomas,128,6743.67661119126,1.6797199777446746e-12,6.661338147750939e-15,2.6384922237184054e-13,0.00034375302493572235,True,,9.893972512966919e-15,4.569405102972195e-15,0.00035876017063856124,1.2844062121372266e-05,10,,,,,,,,,,,,,,,,,2,9.893972512966919e-15,0.0,1.9066044978494514e-15,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fL_hom,QSVT,128,6743.67661119126,113.5967816538662,0.5363472917910785,0.8615552327861973,3.4639456029981375,True,,0.8526799581902879,0.3937993709857648,,,1,7,10003,,,,,5001,5000,6743.676611188241,True,,,,,,,2,9.893972512966919e-15,0.8526799581902863,0.5490003001621949,1.960061490535736e-05,3.9994069396902785,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fH_hom,Thomas,128,6743.67661119126,0.775193798454162,7.45333860661414e-06,4.9759766880272654e-14,0.0003531016409397125,True,,0.00019002359531989158,4.3535825734532206e-06,0.0003726635128259659,2.0476239946507696e-05,10,,,,,,,,,,,,,,,,,2,0.00019002359531989158,0.0,0.00011631859310004223,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fH_hom,QSVT,128,6743.67661119126,18.8494641598173,0.0028724656808297964,0.43634341642635444,3.3564055506139994,True,,0.09515483256061762,0.002180068323191015,,,1,7,10003,,,,,5001,5000,6743.676611188241,True,,,,,,,2,0.00019002359531989158,0.09529636746304666,0.012244154337573985,9.486451745033264e-06,3.9994069396902785,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_nonhom,Thomas,128,6743.67661119126,0.0003671258195162963,5.0074891384532805e-06,1.2933404366442468e-15,0.00035579316318035126,True,,2.428828034481904e-06,3.5548975285342673e-06,0.0003771420568227768,2.7445509905124074e-05,10,,,,,,,,,,,,,,,,,2,2.428828034481904e-06,0.0,1.1665835715312754e-06,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_nonhom,QSVT,128,6743.67661119126,117.2606076016163,1.943579285388468,0.9674611352385203,2.877907244488597,True,,0.97991758795875,1.4342335324472204,,,1,7,10003,,,,,5001,5000,6743.676611188241,True,,,,,,,2,2.428828034481904e-06,0.9799175462007519,0.9016732420528007,9.053200483322144e-05,3.9994069396902785,auto,,,,aer_simulator_statevector (CPU)
HET_1D_3a_linear_hom,Thomas,128,6743.67661119126,1.0674915447539152e-11,1.700029006457271e-16,6.089131348710385e-14,0.00033567287027835846,True,,7.359583027460638e-15,8.497323749894352e-17,0.0003536280244588852,2.828853846867731e-05,10,,,,,,,,,,,,,,,,,2,7.359583027460638e-15,0.0,3.541257465403418e-15,,,,,,,aer_simulator_statevector (CPU)
HET_1D_3a_linear_hom,QSVT,128,6743.67661119126,45.6197419202758,0.005086767246869562,0.6754238811304546,2.8309590723365545,True,,0.25879500259198107,0.0029880292316473525,,,1,7,10003,,,,,5001,5000,6743.676611188241,True,,,,,,,2,7.359583027460638e-15,0.2587950025919772,0.15519584940806025,9.137392044067383e-05,3.9994069396902785,auto,,,,aer_simulator_statevector (CPU)
