case,solver,N,kappa,max_rel_err,max_abs_err,residual,wall_time_s,converged,notes,rel_l2_err,rms_err,wall_time_mean_s,wall_time_std_s,n_timing_repeats,n_qubits,circuit_depth,circuit_depth_t,n_gates_total,n_gates_2q,success_probability,qsvt_degree,qsvt_max_degree,qsvt_kappa_eff,qsvt_phases_cached,vqls_final_cost,vqls_n_layers,vqls_n_restarts,hhl_epsilon,hhl_scale_c,random_seed,discretisation_order,err_disc,err_alg,proportionality_residual,phase_lookup_time_s,qsvt_alpha,qsvt_angle_method,vqls_n_evaluations,vqls_optimiser_success,hhl_trotter_steps,backend_name
1D_Poisson_fS_nonhom,Thomas,4,9.472135954999596,0.2480565831957199,0.0032337594535281067,1.2594253343322215e-16,3.3618882298469543e-05,True,,0.0018671959589999577,0.002688075078357516,4.5083090662956236e-05,2.2646471076256782e-05,10,,,,,,,,,,,,,,,,,2,0.0018671959589999577,0.0,0.0005337809851219395,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_nonhom,QSVT,4,9.472135954999596,0.24805658325545354,0.003233759454306817,5.254225800450711e-13,1.8932526018470526,True,,0.0018671959593711384,0.00268807507889188,,,1,2,10003,,,,,5001,5000,9.472135954999587,True,,,,,,,2,0.0018671959589999577,4.42807618737911e-13,0.0005337809853338412,9.474344551563263e-05,3.6180339887498953,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_hom,Thomas,4,9.472135954999596,3.355839110269966,0.003233759453527954,4.813662290128891e-16,3.369152545928955e-05,True,,0.0335583911026996,0.0026880750783574254,4.296284168958664e-05,2.2305539030429515e-05,10,,,,,,,,,,,,,,,,,2,0.0335583911026996,0.0,1.984858884363439e-16,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_hom,QSVT,4,9.472135954999596,3.3558391102705705,0.0032337594535281483,2.795419551942975e-14,1.9031459037214518,True,,0.03355839110269977,0.002688075078357439,,,1,2,10003,,,,,5001,5000,9.472135954999587,True,,,,,,,2,0.0335583911026996,3.2224702045319282e-15,3.2287928779800085e-15,8.662045001983643e-05,3.6180339887498953,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fL_hom,Thomas,4,9.472135954999596,5.78241158658936e-14,2.7755575615628914e-16,3.411132766008902e-16,3.318861126899719e-05,True,,2.958754302057199e-16,1.5202354861220294e-16,7.908940315246583e-05,0.00012541450400472564,10,,,,,,,,,,,,,,,,,2,2.958754302057199e-16,0.0,1.9476905234939643e-16,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fL_hom,QSVT,4,9.472135954999596,7.972789095589405e-11,2.702282841937631e-13,7.162489646440146e-13,2.184706188738346,True,,3.87264451145049e-13,1.9898007777629013e-13,,,1,2,10003,,,,,5001,5000,9.472135954999587,True,,,,,,,2,2.958754302057199e-16,3.8737242911928547e-13,2.3629887674973784e-13,9.16793942451477e-06,3.6180339887498953,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fH_hom,Thomas,4,9.472135954999596,20.000000000000078,0.004000000000000014,0.0,3.6191195249557495e-05,True,,0.12403473458920836,0.0031622776601683777,4.096105694770813e-05,9.89771035466254e-06,10,,,,,,,,,,,,,,,,,2,0.12403473458920836,0.0,0.05547001962252298,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fH_hom,QSVT,4,9.472135954999596,19.999999999999922,0.003999999999999983,3.0482551837541235e-14,2.0781374517828226,True,,0.12403473458920852,0.003162277660168382,,,1,2,10003,,,,,5001,5000,9.472135954999587,True,,,,,,,2,0.12403473458920836,1.4259200106036477e-14,0.055470019622511274,7.992610335350037e-06,3.6180339887498953,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_hom,Thomas,8,32.16343747752634,1.0216075566191176,0.0010193792997248152,1.005644499873304e-15,4.1211023926734924e-05,True,,0.010216075566190936,0.0007763286514095238,5.185212939977646e-05,2.1012010979672325e-05,10,,,,,,,,,,,,,,,,,2,0.010216075566190936,0.0,1.1640065169283627e-16,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_hom,QSVT,8,32.16343747752634,1.021607556619428,0.0010193792997251483,4.747535699225591e-14,1.980355678126216,True,,0.010216075566191082,0.0007763286514095348,,,1,3,10003,,,,,5001,5000,32.163437477526415,True,,,,,,,2,0.010216075566190936,2.0214068644807363e-15,2.081737560289511e-15,7.978081703186035e-05,3.8793852415718164,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fL_hom,Thomas,8,32.16343747752634,4.335817419384315e-14,2.220446049250313e-16,9.610229927779262e-16,4.139170050621033e-05,True,,2.275507079535975e-16,1.1102230246251565e-16,4.8152357339859006e-05,1.3412210449855047e-05,10,,,,,,,,,,,,,,,,,2,2.275507079535975e-16,0.0,3.0700904217156127e-16,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fL_hom,QSVT,8,32.16343747752634,1.7731566215317687e-10,1.021627227260069e-12,2.4292322357845343e-12,2.4372326526790857,True,,1.412439673400131e-12,6.89131253602883e-13,,,1,3,10003,,,,,5001,5000,32.163437477526415,True,,,,,,,2,2.275507079535975e-16,1.412361820235126e-12,4.795221905544523e-13,9.000301361083984e-06,3.8793852415718164,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fH_hom,Thomas,8,32.16343747752634,11.111111111111155,0.0013717421124828585,4.005225380218904e-16,4.2751431465148926e-05,True,,0.038801683098309725,0.0009391676226083056,4.648398607969284e-05,7.740092923167037e-06,10,,,,,,,,,,,,,,,,,2,0.038801683098309725,0.0,0.021798496163778543,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fH_hom,QSVT,8,32.16343747752634,11.111111111086496,0.001371742112479814,1.5289184972473885e-12,2.5263074934482574,True,,0.038801683098626236,0.0009391676226159665,,,1,3,10003,,,,,5001,5000,32.163437477526415,True,,,,,,,2,0.038801683098309725,5.659345771035075e-13,0.02179849616358941,8.732080459594727e-06,3.8793852415718164,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_nonhom,Thomas,8,32.16343747752634,0.07580930206088743,0.001019379299724621,2.5261613536946424e-16,4.112161695957184e-05,True,,0.0005350674995584702,0.0007763286514093932,4.978124052286148e-05,1.9049938861927238e-05,10,,,,,,,,,,,,,,,,,2,0.0005350674995584702,0.0,0.00020363452525441964,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_nonhom,QSVT,8,32.16343747752634,0.07580930119055139,0.001019379288021538,1.6736399026249622e-12,3.872819699347019,True,,0.000535067493481833,0.0007763286425928092,,,1,3,10003,,,,,5001,5000,32.163437477526415,True,,,,,,,2,0.0005350674995584702,6.1124787119931744e-12,0.00020363452292632316,7.432512938976288e-05,3.8793852415718164,auto,,,,aer_simulator_statevector (CPU)
HET_1D_3a_linear_hom,Thomas,4,9.472135954999596,1.9515639104739095e-13,1.5612511283791264e-17,6.857096618313867e-17,3.384239971637726e-05,True,,7.026433144529026e-16,8.88781302544432e-18,4.326142370700836e-05,2.3554353257854197e-05,10,,,,,,,,,,,,,,,,,2,7.026433144529026e-16,0.0,6.891296813606304e-16,,,,,,,aer_simulator_statevector (CPU)
HET_1D_3a_linear_hom,QSVT,4,9.472135954999596,3.5344990823027477e-12,2.8275992658421956e-16,3.416114418052085e-14,1.91627605445683,True,,1.5794708452083323e-14,1.9978901474758314e-16,,,1,2,10003,,,,,5001,5000,9.472135954999587,True,,,,,,,2,7.026433144529026e-16,1.5290249195037437e-14,1.4178280570041663e-14,0.00011512264609336853,3.6180339887498953,auto,,,,aer_simulator_statevector (CPU)
HET_1D_3b_gaussian_Vd300,Thomas,4,9.472135954999596,,,2.711229453875418e-16,3.5701319575309753e-05,True,reference_no_exact,,,3.982763737440109e-05,7.3843990832195485e-06,10,,,,,,,,,,,,,,,,,2,,0.0,,,,,,,,aer_simulator_statevector (CPU)
HET_1D_3b_gaussian_Vd300,QSVT,4,9.472135954999596,1.0223738585734189e-10,6.842613220214844e-05,8.123221917012895e-13,2.2086814865469933,True,rel_vs_thomas,5.408003280136955e-13,4.530468157390039e-05,,,1,2,10003,,,,,5001,5000,9.472135954999587,True,,,,,,,2,,5.408003280136955e-13,2.6743442678096493e-13,1.4530494809150696e-05,3.6180339887498953,auto,,,,aer_simulator_statevector (CPU)
HET_1D_3c_gaussian_NeumannDirichlet,Thomas,4,29.284052235954555,2.955093555233156,0.0040059321162229655,3.262726659238602e-16,3.592856228351593e-05,True,,0.015128780504088436,0.002680227709983478,4.013422876596451e-05,9.632533609509469e-06,10,,,,,,,,,,,,,,,,,2,0.015128780504088436,0.0,0.013557943189452738,,,,,,,aer_simulator_statevector (CPU)
HET_1D_3c_gaussian_NeumannDirichlet,QSVT,4,29.284052235954555,2.9551094542204988,0.00400596882658899,1.974121938319168e-07,12.962188724428415,True,,0.015128839588751676,0.0026802381774730165,,,1,2,879,,,,,439,439,29.284052235954555,False,,,,,,,2,0.015128780504088436,2.749304247403705e-07,0.013557876752113613,8.02706927061081e-05,3.5320888862379554,auto,,,,aer_simulator_statevector (CPU)
HET_1D_3a_linear_hom,Thomas,8,32.16343747752634,4.200323125028541e-13,5.377642775528102e-17,1.5036091166707998e-16,4.149042069911957e-05,True,,2.0167869729911167e-15,2.4563341393020286e-17,5.066227167844772e-05,1.988870573528737e-05,10,,,,,,,,,,,,,,,,,2,2.0167869729911167e-15,0.0,2.0380498109931172e-15,,,,,,,aer_simulator_statevector (CPU)
HET_1D_3a_linear_hom,QSVT,8,32.16343747752634,1.0727083284145536e-10,1.3039916368917659e-14,1.413337458291176e-12,3.8836374022066593,True,,7.3236534401435e-13,8.919801749195681e-15,,,1,3,10003,,,,,5001,5000,32.163437477526415,True,,,,,,,2,2.0167869729911167e-15,7.319915824480199e-13,4.051644065702779e-13,8.001364767551422e-05,3.8793852415718164,auto,,,,aer_simulator_statevector (CPU)
HET_1D_3b_gaussian_Vd300,Thomas,8,32.16343747752634,,,8.852824093092447e-16,4.290975630283356e-05,True,reference_no_exact,,,4.666335880756378e-05,8.414202527891279e-06,10,,,,,,,,,,,,,,,,,2,,0.0,,,,,,,,aer_simulator_statevector (CPU)
HET_1D_3b_gaussian_Vd300,QSVT,8,32.16343747752634,3.1081593612593664e-10,0.00016129016876220703,2.5123125932504717e-12,2.2339627146720886,True,rel_vs_thomas,1.542914942760237e-12,0.00011931856673030992,,,1,3,10003,,,,,5001,5000,32.163437477526415,True,,,,,,,2,,1.542914942760237e-12,5.026366773895833e-13,1.1710450053215027e-05,3.8793852415718164,auto,,,,aer_simulator_statevector (CPU)
HET_1D_3c_gaussian_NeumannDirichlet,Thomas,8,113.49524537812056,0.6950242804422815,0.0010741540438607144,1.895798639329945e-15,4.401989281177521e-05,True,,0.0036114495847762145,0.0006136405894237376,5.104672163724899e-05,9.252823678305533e-06,10,,,,,,,,,,,,,,,,,2,0.0036114495847762145,0.0,0.0032287816713628546,,,,,,,aer_simulator_statevector (CPU)
HET_1D_3c_gaussian_NeumannDirichlet,QSVT,8,113.49524537812056,0.6950402156489223,0.0010741786715854351,3.0277715617408123e-07,140.9009278304875,True,,0.0036115029255581734,0.0006136496528394418,,,1,3,3407,,,,,1703,1702,113.49524537812056,False,,,,,,,2,0.0036114495847762145,2.4332546763384303e-07,0.0032287232572973013,5.975179374217987e-05,3.864944458808711,auto,,,,aer_simulator_statevector (CPU)
