case,solver,param,param_value,plot_position,N,err_alg_pct,err_disc_pct,residual,wall_time_s
1D_Poisson_fH_hom,hhl,epsilon,0.1,0.1,8,0.04037548772525969,4.820158671435204,0.0011979482890346973,8.867974882014096
1D_Poisson_fH_hom,hhl,epsilon,0.05,0.05,8,0.04037548772525969,4.820158671435204,0.0011979482890346973,8.619319282006472
1D_Poisson_fH_hom,hhl,epsilon,0.01,0.01,8,0.04037548772525969,4.820158671435204,0.0011979482890346973,9.15874801389873
1D_Poisson_fH_hom,hhl,epsilon,0.005,0.005,8,0.04037548772525969,4.820158671435204,0.0011979482890346973,8.960706392070279
1D_Poisson_fH_hom,hhl,epsilon,0.001,0.001,8,0.04037548772525969,4.820158671435204,0.0011979482890346973,9.213076028972864
1D_Poisson_fS_hom,hhl,epsilon,0.1,0.1,8,1.0810883674485733e-12,0.016320528335697408,7.082799476314498e-14,9.356157368980348
1D_Poisson_fS_hom,hhl,epsilon,0.05,0.05,8,1.0810883674485733e-12,0.016320528335697408,7.082799476314498e-14,8.923441726947203
1D_Poisson_fS_hom,hhl,epsilon,0.01,0.01,8,1.0810883674485733e-12,0.016320528335697408,7.082799476314498e-14,8.931047555990517
1D_Poisson_fS_hom,hhl,epsilon,0.005,0.005,8,1.0810883674485733e-12,0.016320528335697408,7.082799476314498e-14,8.621717855101451
1D_Poisson_fS_hom,hhl,epsilon,0.001,0.001,8,1.0810883674485733e-12,0.016320528335697408,7.082799476314498e-14,8.896257543936372
HET_1D_3a_linear_hom,hhl,epsilon,0.1,0.1,8,0.2751695984127035,4.931992314549671e-13,0.002259610736127598,8.852620061021298
HET_1D_3a_linear_hom,hhl,epsilon,0.05,0.05,8,0.2751695984127035,4.931992314549671e-13,0.002259610736127598,8.874047894962132
HET_1D_3a_linear_hom,hhl,epsilon,0.01,0.01,8,0.2751695984127035,4.931992314549671e-13,0.002259610736127598,8.99914402095601
HET_1D_3a_linear_hom,hhl,epsilon,0.005,0.005,8,0.2751695984127035,4.931992314549671e-13,0.002259610736127598,8.946370088029653
HET_1D_3a_linear_hom,hhl,epsilon,0.001,0.001,8,0.2751695984127035,4.931992314549671e-13,0.002259610736127598,9.139397701015696
