case,solver,param,param_value,plot_position,N,err_alg_pct,err_disc_pct,residual,wall_time_s
1D_Poisson_fH_hom,qsvt,epsilon,0.1,0.1,8,2.4000702180663648e-11,4.820158671435204,7.005015329445791e-13,3.291712417965755
1D_Poisson_fH_hom,qsvt,epsilon,0.05,0.05,8,2.6393372387780207e-11,4.820158671435204,7.58496704131939e-13,3.487401703838259
1D_Poisson_fH_hom,qsvt,epsilon,0.01,0.01,8,2.8699709133815203e-11,4.820158671435204,8.127175028309208e-13,3.7161402869969606
1D_Poisson_fH_hom,qsvt,epsilon,0.005,0.005,8,3.050037846494409e-11,4.820158671435204,8.548541886537505e-13,4.694526675157249
1D_Poisson_fH_hom,qsvt,epsilon,0.001,0.001,8,3.16473801621701e-11,4.820158671435204,9.104401564791587e-13,4.333766780095175
1D_Poisson_fS_hom,qsvt,epsilon,0.1,0.1,8,5.850866747038733e-13,0.016320528335697408,4.97175414968639e-14,4.014137639896944
1D_Poisson_fS_hom,qsvt,epsilon,0.05,0.05,8,1.8618744106058753e-12,0.016320528335697408,1.7410985505076567e-13,1778.8783326810226
1D_Poisson_fS_hom,qsvt,epsilon,0.01,0.01,8,1.2783002341344925e-12,0.016320528335697408,8.515370517225729e-14,4.266098328167573
1D_Poisson_fS_hom,qsvt,epsilon,0.005,0.005,8,1.04104805754307e-12,0.016320528335697408,8.810482490424306e-14,2402.432519041002
1D_Poisson_fS_hom,qsvt,epsilon,0.001,0.001,8,1.6216325511728592e-12,0.016320528335697408,1.0743285185199806e-13,2861.5390569330193
HET_1D_3a_linear_hom,qsvt,epsilon,0.1,0.1,8,1.6309719200191484e-10,4.931992314549671e-13,1.308290468996347e-12,2.7328649659175426
HET_1D_3a_linear_hom,qsvt,epsilon,0.05,0.05,8,1.7546511119070966e-10,4.931992314549671e-13,1.3812963769681419e-12,3.345957508077845
HET_1D_3a_linear_hom,qsvt,epsilon,0.01,0.01,8,1.938083287605925e-10,4.931992314549671e-13,1.5354006384742159e-12,3.4793871510773897
HET_1D_3a_linear_hom,qsvt,epsilon,0.005,0.005,8,1.9513617284527775e-10,4.931992314549671e-13,1.585904807986664e-12,3.7913773788604885
HET_1D_3a_linear_hom,qsvt,epsilon,0.001,0.001,8,2.135362980187912e-10,4.931992314549671e-13,1.7271881069937387e-12,4.471675846958533
1D_Poisson_fH_hom,qsvt,max_degree,20.0,0,8,13.870198936253145,4.820158671435204,0.3879423207626265,0.014143235050141811
1D_Poisson_fH_hom,qsvt,max_degree,50.0,1,8,5.06623511139639,4.820158671435204,0.15806622077527688,0.024583454011008143
1D_Poisson_fH_hom,qsvt,max_degree,100.0,2,8,0.8615395192863431,4.820158671435204,0.02806264967313227,0.04383329604752362
1D_Poisson_fH_hom,qsvt,max_degree,200.0,3,8,0.5845123094995887,4.820158671435204,0.013360309111107924,0.07610396109521389
1D_Poisson_fH_hom,qsvt,max_degree,500.0,4,8,0.0001768698417431356,4.820158671435204,3.9125077714018694e-06,0.43228297401219606
1D_Poisson_fH_hom,qsvt,max_degree,1000.0,5,8,1.635163571866713e-09,4.820158671435204,3.829058059632714e-11,0.6244407480116934
1D_Poisson_fH_hom,qsvt,max_degree,2000.0,6,8,8.981425351239864e-12,4.820158671435204,2.329965326993113e-13,0.957092568045482
1D_Poisson_fH_hom,qsvt,max_degree,uncapped,7,8,2.8699709133815203e-11,4.820158671435204,8.127175028309208e-13,3.503787053981796
1D_Poisson_fS_hom,qsvt,max_degree,20.0,0,8,2.0820961150861414e-12,0.016320528335697408,4.7694921337514934e-14,0.014587567187845707
1D_Poisson_fS_hom,qsvt,max_degree,50.0,1,8,1.5815922412673572e-12,0.016320528335697408,3.476455805408734e-14,0.02486319188028574
1D_Poisson_fS_hom,qsvt,max_degree,100.0,2,8,3.003023242912702e-13,0.016320528335697408,2.2496084791031453e-14,0.04642908903770149
1D_Poisson_fS_hom,qsvt,max_degree,200.0,3,8,6.006046485825407e-13,0.016320528335697408,3.164302868212471e-14,0.0816446770913899
1D_Poisson_fS_hom,qsvt,max_degree,500.0,4,8,6.008998280742482e-13,0.016320528335697408,4.290760091620623e-14,0.4266936138737947
1D_Poisson_fS_hom,qsvt,max_degree,1000.0,5,8,7.456751365784537e-13,0.016320528335697408,8.330925552567401e-14,0.4071551749948412
1D_Poisson_fS_hom,qsvt,max_degree,2000.0,6,8,1.3413503818343409e-12,0.016320528335697408,8.388104109812662e-14,1.1577265080995858
1D_Poisson_fS_hom,qsvt,max_degree,uncapped,7,8,1.2783002341344925e-12,0.016320528335697408,8.515370517225729e-14,4.531132539035752
HET_1D_3a_linear_hom,qsvt,max_degree,20.0,0,8,18.4885929521464,4.931992314549671e-13,0.2805649322729139,0.015492656035348773
HET_1D_3a_linear_hom,qsvt,max_degree,50.0,1,8,22.87893083131775,4.931992314549671e-13,0.22470068799092577,0.027247595135122538
HET_1D_3a_linear_hom,qsvt,max_degree,100.0,2,8,14.525486304376772,4.931992314549671e-13,0.14803258138803507,0.04750701901502907
HET_1D_3a_linear_hom,qsvt,max_degree,200.0,3,8,0.30999344715441973,4.931992314549671e-13,0.009900118557896591,0.08598307706415653
HET_1D_3a_linear_hom,qsvt,max_degree,500.0,4,8,0.0015915310977177594,4.931992314549671e-13,1.3800326411433738e-05,0.20616824901662767
HET_1D_3a_linear_hom,qsvt,max_degree,1000.0,5,8,8.530070400025732e-10,4.931992314549671e-13,2.8432331702305192e-11,0.772095741936937
HET_1D_3a_linear_hom,qsvt,max_degree,2000.0,6,8,6.76441715141698e-11,4.931992314549671e-13,4.905484242636073e-13,1.1779182218015194
HET_1D_3a_linear_hom,qsvt,max_degree,uncapped,7,8,1.938083287605925e-10,4.931992314549671e-13,1.5354006384742159e-12,4.43364191101864
