case,solver,param,param_value,plot_position,N,err_alg_pct,err_disc_pct,residual,wall_time_s
1D_Poisson_fH_hom,vqls,cobyla_tol,0.0001,0.0001,8,19.608769171807857,4.820158671435204,0.018908859678616163,43.93844631081447
1D_Poisson_fH_hom,vqls,cobyla_tol,1e-06,1e-06,8,19.433542444398537,4.820158671435204,0.018692185825355864,61.549635817995295
1D_Poisson_fH_hom,vqls,cobyla_tol,1e-08,1e-08,8,19.393781344509488,4.820158671435204,0.018629630907895024,60.46699009882286
1D_Poisson_fH_hom,vqls,cobyla_tol,1e-10,1e-10,8,19.393781344509488,4.820158671435204,0.018629630907895024,59.40822926303372
1D_Poisson_fS_hom,vqls,cobyla_tol,0.0001,0.0001,8,0.27724556846528614,0.016320528335697408,0.008285103613647789,40.09546989505179
1D_Poisson_fS_hom,vqls,cobyla_tol,1e-06,1e-06,8,0.004621416532428286,0.016320528335697408,0.00014252690806557943,51.604116305941716
1D_Poisson_fS_hom,vqls,cobyla_tol,1e-08,1e-08,8,0.00021466514703792988,0.016320528335697408,7.506573857344639e-06,57.03096102015115
1D_Poisson_fS_hom,vqls,cobyla_tol,1e-10,1e-10,8,0.00021466514703792988,0.016320528335697408,7.506573857344639e-06,59.43914963211864
HET_1D_3a_linear_hom,vqls,cobyla_tol,0.0001,0.0001,8,12.631561451170906,4.931992314549671e-13,0.008150913961542229,21.639089556178078
HET_1D_3a_linear_hom,vqls,cobyla_tol,1e-06,1e-06,8,9.301285639646096,4.931992314549671e-13,0.005914885786461304,60.584040774032474
HET_1D_3a_linear_hom,vqls,cobyla_tol,1e-08,1e-08,8,9.54376993746516,4.931992314549671e-13,0.0060693588573445326,58.000033364864066
HET_1D_3a_linear_hom,vqls,cobyla_tol,1e-10,1e-10,8,9.54376993746516,4.931992314549671e-13,0.0060693588573445326,61.29977311310358
1D_Poisson_fH_hom,vqls,n_layers,1.0,1.0,8,46.00363509331498,4.820158671435204,0.5120652910482768,39.80983264185488
1D_Poisson_fH_hom,vqls,n_layers,2.0,2.0,8,19.393781344509488,4.820158671435204,0.018629630907895024,57.935772978002205
1D_Poisson_fH_hom,vqls,n_layers,3.0,3.0,8,18.669409112047795,4.820158671435204,0.018106932776876597,72.3462023769971
1D_Poisson_fH_hom,vqls,n_layers,4.0,4.0,8,13.284178692918408,4.820158671435204,0.012684635631935719,79.87279013101943
1D_Poisson_fH_hom,vqls,n_layers,5.0,5.0,8,21.498958655411037,4.820158671435204,0.02051909826377484,91.98676426708698
1D_Poisson_fS_hom,vqls,n_layers,1.0,1.0,8,94.77935685954235,0.016320528335697408,0.9607876226157024,32.580636895028874
1D_Poisson_fS_hom,vqls,n_layers,2.0,2.0,8,0.00021466514703792988,0.016320528335697408,7.506573857344639e-06,60.532163945026696
1D_Poisson_fS_hom,vqls,n_layers,3.0,3.0,8,0.0014884185007583018,0.016320528335697408,2.9229398612395012e-05,20.029611953068525
1D_Poisson_fS_hom,vqls,n_layers,4.0,4.0,8,0.00021828572026086115,0.016320528335697408,5.440397463417025e-06,23.201442294055596
1D_Poisson_fS_hom,vqls,n_layers,5.0,5.0,8,0.0006070782714930316,0.016320528335697408,1.2498121844531788e-05,27.036193910054862
HET_1D_3a_linear_hom,vqls,n_layers,1.0,1.0,8,87.970521970839,4.931992314549671e-13,0.7117867015264449,35.18459228100255
HET_1D_3a_linear_hom,vqls,n_layers,2.0,2.0,8,9.54376993746516,4.931992314549671e-13,0.0060693588573445326,56.94597704592161
HET_1D_3a_linear_hom,vqls,n_layers,3.0,3.0,8,63.06567176375748,4.931992314549671e-13,0.03985861022092854,69.43502769409679
HET_1D_3a_linear_hom,vqls,n_layers,4.0,4.0,8,26.078389305328166,4.931992314549671e-13,0.016536399042293662,80.06578848185018
HET_1D_3a_linear_hom,vqls,n_layers,5.0,5.0,8,10.347174121227924,4.931992314549671e-13,0.006533154527696372,90.9993286000099
1D_Poisson_fH_hom,vqls,n_restarts,1.0,1.0,8,71.34326515547409,4.820158671435204,0.06869324418907702,24.79141995217651
1D_Poisson_fH_hom,vqls,n_restarts,2.0,2.0,8,19.393781344509488,4.820158671435204,0.018629630907895024,40.8627617850434
1D_Poisson_fH_hom,vqls,n_restarts,3.0,3.0,8,19.393781344509488,4.820158671435204,0.018629630907895024,59.50040449714288
1D_Poisson_fH_hom,vqls,n_restarts,5.0,5.0,8,19.393781344509488,4.820158671435204,0.018629630907895024,98.69933231687173
1D_Poisson_fH_hom,vqls,n_restarts,8.0,8.0,8,19.393781344509488,4.820158671435204,0.018629630907895024,149.53628729400225
1D_Poisson_fS_hom,vqls,n_restarts,1.0,1.0,8,0.08347370030056397,0.016320528335697408,0.002590907069284661,24.404901399975643
1D_Poisson_fS_hom,vqls,n_restarts,2.0,2.0,8,0.08347370030056397,0.016320528335697408,0.002590907069284661,42.42145832395181
1D_Poisson_fS_hom,vqls,n_restarts,3.0,3.0,8,0.00021466514703792988,0.016320528335697408,7.506573857344639e-06,59.09057228290476
1D_Poisson_fS_hom,vqls,n_restarts,5.0,5.0,8,0.00021466514703792988,0.016320528335697408,7.506573857344639e-06,90.16375930979848
1D_Poisson_fS_hom,vqls,n_restarts,8.0,8.0,8,0.00021466514703792988,0.016320528335697408,7.506573857344639e-06,149.19401819002815
HET_1D_3a_linear_hom,vqls,n_restarts,1.0,1.0,8,82.32459781744349,4.931992314549671e-13,0.052086258768209714,23.989205218153074
HET_1D_3a_linear_hom,vqls,n_restarts,2.0,2.0,8,9.54376993746516,4.931992314549671e-13,0.0060693588573445326,41.179150860989466
HET_1D_3a_linear_hom,vqls,n_restarts,3.0,3.0,8,9.54376993746516,4.931992314549671e-13,0.0060693588573445326,61.46022644103505
HET_1D_3a_linear_hom,vqls,n_restarts,5.0,5.0,8,3.824412369248903,4.931992314549671e-13,0.0024229631396291153,96.46815045294352
HET_1D_3a_linear_hom,vqls,n_restarts,8.0,8.0,8,3.824412369248903,4.931992314549671e-13,0.0024229631396291153,148.95878505404107
