N,backend_name,case,converged,convergence_factor,discretisation_order,err_thomas_vs_exact,err_vs_thomas,hhl_scale_c,hhl_trotter_steps,inner_calls,inner_failures,inner_max_s,inner_mean_s,inner_options,inner_total_s,kappa_row,level_kappas,level_shapes,linf_err,max_abs_err,max_rel_err,mean_strip_size,n_circuit_evals,n_jacobi_iters,n_levels,n_outer,notes,peak_E_field,peak_E_rel_err,qsvt_degree,qsvt_depth,rel_l2_err,residual,rms_err,s_per_strip_solve,scheme,solver,solves_per_digit,stop_reason,strip_solves,strip_solves_by_size,vqls_final_cost,wall_time_s,weighted_cost
4,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,True,0.2701375664339746,2,0.7270862722082496,0.0,,,32,0,0.0001896936446428299,5.252548726275563e-05,{},0.0016808155924081802,1.386075053651662,[],[],0.7270862722082496,1.9729671342021788,1.1306868143551243,4.0,,8,,8,scheme_fallback:fmg->sor,20182.049127280723,0.9333688023890082,,,0.007856455475933987,2.6975810386532997e-05,1.3175676379791639,8.678447920829058e-05,line-sor,Thomas,8.04241344077089,tol_met,32,"{""4"": 32}",,0.0027771033346652985,32.0
4,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,False,0.7843700119341365,2,0.7270862722082496,0.112346292433435,308.4847516911111,100,88,0,0.47450556606054306,0.19235838200388986,"{""epsilon"": 0.01}",16.927537616342306,1.386075053651662,[],[],0.7927413357215699,2.151123822695723,1.2236006296613784,4.0,,22,,22,scheme_fallback:fmg->sor,20199.737334987214,1.0218301068201443,,,0.007921818246679197,0.001566109445083,1.3285293078729659,0.19242423040453682,line-sor,HHL,39.72805439480297,stagnated,88,"{""4"": 88}",,16.93333227559924,88.0
4,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,True,0.27020245629485656,2,0.7270862722082496,6.417627830203154e-05,,,32,0,1.2339269686490297,0.907399861025624,{},29.036795552819967,1.386075053651662,[],[],0.7271070360926581,1.9730234775318252,1.1308476377349137,4.0,173.84375,8,,8,scheme_fallback:fmg->sor,20182.060261756134,0.9334244875231604,,,0.00785645549014339,2.7021202183865557e-05,1.3175676403621535,0.9074435729417019,line-sor,VQLS,8.043889570653981,tol_met,32,"{""4"": 32}",1.219545298081215e-13,29.03819433413446,32.0
4,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,True,0.2701375664343414,2,0.7270862722082496,1.5626811385997224e-13,,,32,0,0.18062427267432213,0.014946505951229483,{},0.47828819043934345,1.386075053651662,[],[],0.7270862722083334,1.9729671342024062,1.1306868143552369,4.0,,8,,8,scheme_fallback:fmg->sor,20182.049127280734,0.9333688023890628,17,35,0.007856455475934146,2.697581038678944e-05,1.317567637979191,0.0149873067275621,line-sor,QSVT,8.042413440779233,tol_met,32,"{""4"": 32}",,0.4795938152819872,32.0
4,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,True,0.284377450671017,2,3.357187401045484,0.0,,,36,0,0.0001927446573972702,5.320951135622131e-05,{},0.001915542408823967,2.3585701736362874,[],[],3.357187401045484,0.001538361826620531,3.3588746663392346,4.0,,9,,9,scheme_fallback:fmg->sor,0.09467218733379659,3.3570893892253513,,,0.03357092315511809,2.4228756721306702e-05,0.0010629517718882904,8.893706318404939e-05,line-sor,Thomas,8.240175956286633,tol_met,36,"{""4"": 36}",,0.003201734274625778,36.0
4,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,False,0.7721996890699766,2,3.357187401045484,0.06429723359760801,0.061897776980617915,100,88,0,0.5413008388131857,0.3429000680334866,"{""epsilon"": 0.01}",30.17520598694682,2.3585701736362874,[],[],3.3959602727899525,0.0015561286947380418,3.3959602728392846,4.0,,22,,22,scheme_fallback:fmg->sor,0.09489409034763095,3.599349025159937,,,0.03356161581159163,0.0024859538235691868,0.001062657074681207,0.3429739054038443,line-sor,HHL,37.32486057942901,stagnated,88,"{""4"": 88}",,30.1817036755383,88.0
4,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,True,0.28447272550148955,2,3.357187401045484,4.3204598041353264e-05,,,36,0,1.2652523275464773,1.0714394588333864,{},38.571820518001914,2.3585701736362874,[],[],3.357188139341666,0.001538362164929516,3.3588994047279277,4.0,189.75,9,,9,scheme_fallback:fmg->sor,0.09467220056948462,3.357103839110049,,,0.033570923156555285,2.42937717026349e-05,0.001062951771933796,1.0714911264367402,line-sor,VQLS,8.242371644968772,tol_met,36,"{""4"": 36}",1.349568605017263e-13,38.573680551722646,36.0
4,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,True,0.28437745067022385,2,3.357187401045484,1.3918430327202558e-13,,,36,0,0.28421255946159363,0.03867627256032494,{},1.3923458121716976,2.3585701736362874,[],[],3.3571874010455147,0.0015383618266205448,3.358874666339144,4.0,,9,,9,scheme_fallback:fmg->sor,0.09467218733379658,3.3570893892253366,59,119,0.03357092315511748,2.4228756720766068e-05,0.0010629517718882709,0.03872447735112575,line-sor,QSVT,8.240175956268354,tol_met,36,"{""4"": 36}",,1.3940811846405268,36.0
4,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,True,0.284377450671017,2,3.357187401045484,0.0,,,36,0,0.000180903822183609,5.2705821063783434e-05,{},0.0018974095582962036,2.3585701736362874,[],[],3.357187401045484,0.001538361826620531,3.3588746663392346,4.0,,9,,9,scheme_fallback:fmg->sor,0.09467218733379659,3.3570893892253357,,,0.03357092315511815,2.4228756721306702e-05,0.0010629517718882923,8.747866377234459e-05,line-sor,Thomas,8.240175956286633,tol_met,36,"{""4"": 36}",,0.003149231895804405,36.0
4,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,False,0.7721996890699766,2,3.357187401045484,0.06429723359760801,0.061897776980617915,100,88,0,0.5276040155440569,0.346140665192665,"{""epsilon"": 0.01}",30.460378536954522,2.3585701736362874,[],[],3.3959602727899525,0.0015561286947380418,3.395960272839297,4.0,,22,,22,scheme_fallback:fmg->sor,0.09489409034763095,3.599349025159921,,,0.03356161581159169,0.0024859538235691868,0.001062657074681209,0.34621208074333315,line-sor,HHL,37.32486057942901,stagnated,88,"{""4"": 88}",,30.466663105413318,88.0
4,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,True,0.28447272550148955,2,3.357187401045484,4.3204598041353264e-05,,,36,0,1.2574851401150227,1.0728482622653246,{},38.622537441551685,2.3585701736362874,[],[],3.357188139341666,0.001538362164929516,3.3588994047279277,4.0,189.75,9,,9,scheme_fallback:fmg->sor,0.09467220056948462,3.357103839110033,,,0.03357092315655534,2.42937717026349e-05,0.001062951771933798,1.0728999671215813,line-sor,VQLS,8.242371644968772,tol_met,36,"{""4"": 36}",1.349568605017263e-13,38.624398816376925,36.0
4,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,True,0.28437745067022385,2,3.357187401045484,1.3918430327202558e-13,,,36,0,0.30898073874413967,0.03836255572322342,{},1.3810520060360432,2.3585701736362874,[],[],3.3571874010455147,0.0015383618266205448,3.3588746663391564,4.0,,9,,9,scheme_fallback:fmg->sor,0.09467218733379658,3.3570893892253206,59,119,0.03357092315511754,2.4228756720766068e-05,0.001062951771888273,0.038409232886301145,line-sor,QSVT,8.240175956268354,tol_met,36,"{""4"": 36}",,1.3827323839068413,36.0
4,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,True,0.28336394732975034,2,2.707352232309037,0.0,,,36,0,0.00014729425311088562,5.340979744990667e-05,{},0.00192275270819664,2.3585701736362874,[],[],2.707352232309037,7.201935878356409,3.6264383854499904,4.0,,9,,9,scheme_fallback:fmg->sor,53162.56814654788,2.6850084674511345,,,0.01800980322825992,1.9153434531180404e-05,3.1806058991299886,9.043426770302985e-05,line-sor,Thomas,8.216845754424531,tol_met,36,"{""4"": 36}",,0.0032556336373090744,36.0
4,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,False,0.8944938243256466,2,2.707352232309037,3.302371820095991,360.2792606928195,100,80,0,0.5526408702135086,0.36023640995845196,"{""epsilon"": 0.01}",28.81891279667616,2.3585701736362874,[],[],2.5840008352171093,6.873803896946633,12.119987189645162,4.0,,20,,20,scheme_fallback:fmg->sor,53036.53907476153,2.915706841915192,,,0.020540196193205056,0.053912998730805246,3.627483784991217,0.3603110353462398,line-sor,HHL,86.95364693126665,stagnated,80,"{""4"": 80}",,28.824882827699184,80.0
4,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,True,0.28325429395744967,2,2.707352232309037,7.40418678970727e-05,,,36,0,1.2792937196791172,1.131206990685314,{},40.7234516646713,2.3585701736362874,[],[],2.7073392489371098,7.201901340769837,3.626420994510693,4.0,196.33333333333334,9,,9,scheme_fallback:fmg->sor,53162.64774252598,2.68486276564994,,,0.01800999202769733,1.9094221012132942e-05,3.180639241893192,1.1312602752198775,line-sor,VQLS,8.214324537398813,tol_met,36,"{""4"": 36}",2.477431839922575e-13,40.72536990791559,36.0
4,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,False,0.7730003095933661,2,2.707352232309037,0.139744914756889,,,88,0,0.3144495543092489,0.03459910002791069,{},3.0447208024561405,2.3585701736362874,[],[],2.8452671214277796,7.568808786968191,3.811172326551822,4.0,,22,,22,scheme_fallback:fmg->sor,53174.58517161619,2.663011097242347,59,119,0.01902112441011734,0.002068889311854447,3.3592094116816136,0.034656370439651335,line-sor,QSVT,37.47508266314697,stagnated,88,"{""4"": 88}",,3.0497605986893177,88.0
4,aer_simulator_statevector (CPU),2D_HET_Sin_MeetingReport,True,0.30065090257674776,2,3.3573634491953253,0.0,,,36,0,0.0001514926552772522,5.120716782079803e-05,{},0.001843458041548729,1.386075053651662,[],[],3.3573634491953253,0.6073527535887635,3.360050555963744,4.0,,9,,9,scheme_fallback:fmg->sor,1806.6259844535334,3.3565152905179545,,,0.033571286643133635,4.914425072108956e-05,0.41964108303917047,8.570940958129035e-05,line-sor,Thomas,8.621722147168645,tol_met,36,"{""4"": 36}",,0.0030855387449264526,36.0
4,aer_simulator_statevector (CPU),2D_HET_Sin_MeetingReport,False,0.7753125641451963,2,3.3573634491953253,0.12673386033572348,24.05900178803949,100,92,0,0.576930345967412,0.2098644620374493,"{""epsilon"": 0.01}",19.307530507445335,1.386075053651662,[],[],3.435593177230302,0.6215046443368237,3.4355931772332404,4.0,,23,,23,scheme_fallback:fmg->sor,1808.2000079072575,3.4465646867750737,,,0.03357899535968998,0.002725605207294583,0.4197374419961247,0.2099399538508252,line-sor,HHL,37.836571957875684,stagnated,92,"{""4"": 92}",,19.314475754275918,92.0
4,aer_simulator_statevector (CPU),2D_HET_Sin_MeetingReport,True,0.30067436250436186,2,3.3573634491953253,3.8141289460712824e-05,,,36,0,1.1510878093540668,0.9240925029023654,{},33.267330104485154,1.386075053651662,[],[],3.3573501543424458,0.6073503485272838,3.360117923549164,4.0,176.41666666666666,9,,9,scheme_fallback:fmg->sor,1806.6266515164139,3.3565534529795786,,,0.03357128664407235,4.917493708788607e-05,0.41964108305090436,0.9241351130314999,line-sor,VQLS,8.622281950208864,tol_met,36,"{""4"": 36}",8.735604832092274e-14,33.268864069134,36.0
4,aer_simulator_statevector (CPU),2D_HET_Sin_MeetingReport,True,0.30065090257631477,2,3.3573634491953253,1.5200788837362982e-13,,,36,0,0.317485798150301,0.018247441129965916,{},0.6569078806787729,1.386075053651662,[],[],3.357363449195424,0.6073527535887813,3.3600505559638547,4.0,,9,,9,scheme_fallback:fmg->sor,1806.6259844535348,3.356515290518032,17,35,0.03357128664313407,4.9144250720523365e-05,0.4196410830391759,0.018286885641929176,line-sor,QSVT,8.621722147158312,tol_met,36,"{""4"": 36}",,0.6583278831094503,36.0
8,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,True,0.07640016016116832,2,1.021491967652916,0.0,,,240,0,0.00013085268437862396,5.0386087968945505e-05,{},0.01209266111254692,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.021491967652916,0.0005018895265016254,1.0217386532929251,4.8,,2,2,2,,0.13675047706238802,1.0217524507355102,,,0.010204691135565507,7.162994881630047e-05,0.00029079882690749136,7.550806427995364e-05,fmg,Thomas,107.4396850783765,tol_met,240,"{""4"": 192, ""8"": 48}",,0.018121935427188873,144.0
8,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,False,0.9096208623773354,2,1.021491967652916,0.06372475046257951,0.022034143083703682,100,688,0,1.8233551364392042,0.6135784139109473,"{""epsilon"": 0.01}",422.1419487707317,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0086205043078578,0.00049556539195314,1.1373875311964743,4.930232558139535,,9,2,9,,0.13712029036430465,1.2949448274039053,,,0.010179355105088208,0.006860103911897393,0.0002900768366146531,0.6136315462563924,fmg,HHL,1858.1723587007402,stagnated,688,"{""4"": 528, ""8"": 160}",,422.1785038243979,263.5651009223711
8,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,False,0.8446738905061222,2,1.021491967652916,0.04835925642887005,,,688,0,5.483084535226226,1.6098098492054917,{},1107.5491762533784,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0283273522217142,0.000505247955185674,1.0909689251153862,4.930232558139535,235.37790697674419,9,2,9,,0.1368425847467607,1.0897952092646965,,,0.010223953292861876,0.002707123951847845,0.00029134773256970874,1.6098490094354505,fmg,VQLS,1042.7428007322194,stagnated,688,"{""4"": 528, ""8"": 160}",2.530207948940309e-08,1107.57611849159,375.9261434592542
8,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,True,0.07638504147045445,2,1.021491967652916,2.7055502424917625e-06,,,240,0,0.3713599443435669,0.037988599653666216,{},9.117263916879892,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0214913339849292,0.0005018892151616092,1.0217374055006965,4.8,,2,2,2,,0.13675047671476506,1.021752193935818,64,129,0.010204671773511855,7.166449082196135e-05,0.00029079827515512437,0.038026836304925385,fmg,QSVT,107.43141781092942,tol_met,240,"{""4"": 192, ""8"": 48}",,9.126440713182092,174.67275943419784
8,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,True,0.07640016016116832,2,1.021491967652916,0.0,,,240,0,0.00012054480612277985,4.7940427126983805e-05,{},0.011505702510476112,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.021491967652916,0.0005018895265016254,1.0217386532929251,4.8,,2,2,2,,0.13675047706238802,1.0217524507355102,,,0.010204691135565552,7.162994881630047e-05,0.0002907988269074926,7.119725923985243e-05,fmg,Thomas,107.4396850783765,tol_met,240,"{""4"": 192, ""8"": 48}",,0.017087342217564583,144.0
8,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,False,0.9096208623773354,2,1.021491967652916,0.06372475046257951,0.022034143083703682,100,688,0,2.7172549478709698,0.8233206026570135,"{""epsilon"": 0.01}",566.4445746280253,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0086205043078578,0.00049556539195314,1.1373875311964585,4.930232558139535,,9,2,9,,0.13712029036430465,1.2949448274039053,,,0.010179355105088253,0.006860103911897393,0.00029007683661465435,0.823387061730352,fmg,HHL,1858.1723587007402,stagnated,688,"{""4"": 528, ""8"": 160}",,566.4902984704822,263.5651009223711
8,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,False,0.8446738905061222,2,1.021491967652916,0.04835925642887005,,,688,0,5.598791455850005,1.6551996505234476,{},1138.777359560132,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0283273522217142,0.000505247955185674,1.0909689251153694,4.930232558139535,235.37790697674419,9,2,9,,0.1368425847467607,1.0897952092646965,,,0.01022395329286192,0.002707123951847845,0.00029134773256971,1.6552458862600805,fmg,VQLS,1042.7428007322194,stagnated,688,"{""4"": 528, ""8"": 160}",2.530207948940309e-08,1138.8091697469354,375.9261434592542
8,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,True,0.07638504147045445,2,1.021491967652916,2.7055502424917625e-06,,,240,0,0.754426546394825,0.047829270650011795,{},11.479024956002831,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0214913339849292,0.0005018892151616092,1.0217374055006965,4.8,,2,2,2,,0.13675047671476506,1.021752193935818,64,129,0.0102046717735119,7.166449082196135e-05,0.0002907982751551256,0.04787568061146885,fmg,QSVT,107.43141781092942,tol_met,240,"{""4"": 192, ""8"": 48}",,11.490163346752524,174.67275943419784
8,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,True,0.06979381575305,2,4.047198308078106,0.0,,,304,0,0.00011464208364486694,5.161909901193882e-05,{},0.015692206099629402,2.772490957258859,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",4.047198308078106,11.666861554648847,4.047198308078106,4.842105263157895,,3,2,3,,111962.01543526314,6.405939991068774,,,0.021011488793741814,1.5393932120004673e-05,3.350331494354337,7.714960405505018e-05,fmg,Thomas,87.64471394703166,tol_met,304,"{""4"": 240, ""8"": 64}",,0.023453479632735252,184.0
8,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,False,0.9628044637510692,2,4.047198308078106,2.5226916328085327,137.34179679870624,100,688,0,1.8731941748410463,0.626096539009839,"{""epsilon"": 0.01}",430.7544188387692,2.772490957258859,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",2.9115143961220444,8.393024702081732,16.989122489102474,4.930232558139535,,9,2,9,,110675.5001864519,5.183267606774698,,,0.025209216709603077,0.055285953100904575,4.019669120987879,0.626144134748164,fmg,HHL,4643.7180160522585,stagnated,688,"{""4"": 528, ""8"": 160}",,430.7871647067368,263.5651009223711
8,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,False,0.7644930286501322,2,4.047198308078106,0.047137760522998215,,,816,0,5.479263057932258,1.6530005622805808,{},1348.848458820954,2.772490957258859,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",4.052159635885073,11.681163577985728,4.052159635885073,4.9411764705882355,240.9375,11,2,11,,112040.6781559278,6.480699102022956,,,0.021021756739200537,0.0023461681191288756,3.351968742499405,1.6530383819686796,fmg,VQLS,636.0633040241785,stagnated,816,"{""4"": 624, ""8"": 192}",3.8579216398290814e-08,1348.8793196864426,447.1854422700277
8,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,False,0.7556741223541659,2,4.047198308078106,0.11405859351527568,,,752,0,0.4370547328144312,0.03493832461932238,{},26.27362011373043,2.772490957258859,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",4.115704284794261,11.86434378437258,4.115704284794261,4.9361702127659575,,10,2,10,,112081.86724829605,6.5198442002402786,65,131,0.021364781911060532,0.0027004193391382226,3.4066649160033573,0.03497126889960008,fmg,QSVT,618.0883741687608,stagnated,752,"{""4"": 576, ""8"": 176}",,26.29839421249926,556.0182783025936
8,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,True,0.18328513613117808,2,0.21755719369204204,0.0,,,304,0,0.00011625140905380249,4.739653760273206e-05,{},0.014408547431230545,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",0.21755719369204204,0.6329911248050166,0.35633557678172706,4.842105263157895,,3,2,3,,22471.649268324265,0.33906081705195174,,,0.002299282153703623,2.0981091777881408e-05,0.3658135506176343,6.998552156514244e-05,fmg,Thomas,137.5180895773987,tol_met,304,"{""4"": 240, ""8"": 64}",,0.0212755985558033,184.0
8,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,False,0.9030050846206997,2,0.21755719369204204,0.07764646698349477,115.83519779879742,100,752,0,0.9997056107968092,0.3279109289275205,"{""epsilon"": 0.01}",246.5890185534954,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",0.22521542704102357,0.6552730528779307,0.5194711237528012,4.9361702127659575,,10,2,10,,22474.29074389235,0.3508553753644325,,,0.002395782957337409,0.001563971226718221,0.3811667344614997,0.3279572341298843,fmg,HHL,1697.1413268251663,stagnated,752,"{""4"": 576, ""8"": 176}",,246.623840065673,288.98011009713207
8,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,False,0.9112522788975151,2,0.21755719369204204,0.0546476461765422,,,1008,0,5.690419301390648,1.8004534364334264,{},1814.8570639248937,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",0.21205814004887721,0.6169914141455877,0.6390240852128163,4.9523809523809526,270.93948412698415,14,2,14,,22467.244284689645,0.31939194826823897,,,0.0023213260231003635,0.0010334624840879312,0.36932070876279016,1.8004875400210805,fmg,VQLS,1783.8838328264853,stagnated,1008,"{""4"": 768, ""8"": 240}",2.554219555482551e-08,1814.891440341249,554.0743904861879
8,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,True,0.1846278945967884,2,0.21755719369204204,4.21053575762782e-05,,,304,0,0.6106838975101709,0.017347091067533352,{},5.273515684530139,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",0.21758069703645444,0.6330595087005975,0.3563554701012214,4.842105263157895,,3,2,3,,22471.655114347403,0.3390869203639131,17,35,0.0022992513701018662,2.151077982324033e-05,0.36580865297658527,0.017380910729499238,fmg,QSVT,138.11225679681343,tol_met,304,"{""4"": 240, ""8"": 64}",,5.283796861767769,222.3409492927473
8,aer_simulator_statevector (CPU),2D_HET_Sin_MeetingReport,True,0.1810515236345923,2,1.0218451142560083,0.0,,,368,0,0.013083891943097115,0.00011800993335149859,{},0.04342765547335148,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",1.0218451142560083,0.19820654277085126,1.0221312664881432,4.869565217391305,,4,2,4,,2694.6066327809917,1.0218653305108871,,,0.010215807975303727,2.1300443988146113e-05,0.11492783972216693,0.00014047460812751365,fmg,Thomas,123.9561718076933,tol_met,368,"{""4"": 288, ""8"": 80}",,0.051694655790925026,224.0
8,aer_simulator_statevector (CPU),2D_HET_Sin_MeetingReport,False,0.8704181281947473,2,1.0218451142560083,0.08706556955812525,8.522417749198897,100,752,0,0.9979255944490433,0.3591926888627139,"{""epsilon"": 0.01}",270.11290202476084,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",1.0336302519577376,0.20049249723435025,1.1785090655214148,4.9361702127659575,,10,2,10,,2694.9595153320192,1.035095036514615,,,0.010209062477062977,0.005468184729706629,0.1148519528669585,0.35925764905070845,fmg,HHL,1247.6756958555516,stagnated,752,"{""4"": 576, ""8"": 176}",,270.16175208613276,288.98011009713207
8,aer_simulator_statevector (CPU),2D_HET_Sin_MeetingReport,False,0.8042797805950294,2,1.0218451142560083,0.05500256906839187,,,688,0,5.520395955070853,1.8810128181723358,{},1294.136818902567,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",1.0374791779800343,0.20123907057469026,1.1384832332979065,4.930232558139535,261.5218023255814,9,2,9,,2694.6217685466304,1.0224327763337473,,,0.010232438861106278,0.0028461307900035765,0.11511493718744562,1.8810593889630942,fmg,VQLS,808.1418952225879,stagnated,688,"{""4"": 528, ""8"": 160}",3.129776445374052e-08,1294.1688596066087,375.9261434592542
8,aer_simulator_statevector (CPU),2D_HET_Sin_MeetingReport,True,0.1825065111261114,2,1.0218451142560083,1.8300721160880705e-05,,,368,0,0.3725952245295048,0.014529286873648349,{},5.346777569502592,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",1.0218551485671756,0.19820848911878386,1.0221517700509264,4.869565217391305,,4,2,4,,2694.606947269113,1.0218771207945732,17,35,0.010215796219454244,2.202854361852647e-05,0.11492770746886025,0.014564587501809001,fmg,QSVT,124.53946844653017,tol_met,368,"{""4"": 288, ""8"": 80}",,5.359768200665712,270.0091391512968
16,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,True,0.11304589610752908,2,0.28515566441699475,0.0,,,496,0,0.013087589293718338,0.0001313237458347313,{},0.06513657793402672,2.9330326452100475,"[2.933, 2.7725, 2.3586]","[[16, 16], [8, 8], [4, 4]]",0.28515566441699475,0.00014323168102334943,0.28517177958075673,7.741935483870968,,3,3,3,,0.15266725750551083,0.28516724787722847,,,0.002850078503713893,2.1698188409713877e-05,7.670541510918545e-05,0.00015444469998680775,fmg,Thomas,174.6334002825543,tol_met,496,"{""4"": 288, ""8"": 80, ""16"": 128}",,0.07660457119345665,240.0
16,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,False,0.9881645577212655,2,0.28515566441699475,0.12158107936917019,0.0336084936229787,100,1072,0,7.6420066598802805,2.2597056465716894,"{""epsilon"": 0.01}",2422.404453124851,2.9330326452100475,"[2.933, 2.7725, 2.3586]","[[16, 16], [8, 8], [4, 4]]",0.28496894221307034,0.00014313789177596709,0.7424086094842565,8.238805970149254,,9,3,9,,0.15391359766184717,1.1038721428768918,,,0.0028726813797624704,0.046526832696199,7.731373624409748e-05,2.2597658764327697,fmg,HHL,23035.660780652604,stagnated,1072,"{""4"": 576, ""8"": 176, ""16"": 320}",,2422.469019535929,376.6822997476655
