N,backend_name,case,circuit_depth_t,converged,convergence_factor,discretisation_order,err_thomas_vs_exact,err_vs_thomas,hhl_scale_c,hhl_trotter_steps,inner_calls,inner_failures,inner_max_s,inner_mean_s,inner_options,inner_total_s,kappa_row,level_kappas,level_shapes,linf_err,max_abs_err,max_rel_err,mean_strip_size,n_circuit_evals,n_gates_2q,n_gates_total,n_jacobi_iters,n_levels,n_outer,notes,peak_E_field,peak_E_rel_err,qsvt_degree,qsvt_depth,rel_l2_err,residual,rms_err,s_per_strip_solve,scheme,solver,solves_per_digit,stop_reason,strip_solves,strip_solves_by_size,vqls_final_cost,wall_time_s,weighted_cost
4,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,,True,0.2732049473197183,2,0.7244130467273291,0.0,,,44,0,0.00019564665853977203,5.246000364422798e-05,{},0.002308240160346031,1.386075053651662,[],[],0.7244130467273291,1.9657132687150067,1.1306156905995504,4.0,,,,11,,11,scheme_fallback:fmg->sor,20181.43065151954,0.930275714977255,,,0.007834295816114025,5.953402055246782e-07,1.3138513500504863,8.806641298261556e-05,line-sor,Thomas,7.808182201171045,tol_met,44,"{""4"": 44}",,0.0038749221712350845,44.0
4,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,2421,False,0.7843700119341365,2,0.7270862722082496,0.112346292433435,308.4847516911111,100,88,0,0.47450556606054306,0.19235838200388986,"{""epsilon"": 0.01}",16.927537616342306,1.386075053651662,[],[],0.7927413357215699,2.151123822695723,1.2236006296613784,4.0,,697,3433,22,,22,scheme_fallback:fmg->sor,20199.737334987214,1.0218301068201443,,,0.007921818246679197,0.001566109445083,1.3285293078729659,0.19242423040453682,line-sor,HHL,39.72805439480297,stagnated,88,"{""4"": 88}",,16.93333227559924,88.0
4,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,12,True,0.27020245629485656,2,0.7270862722082496,6.417627830203154e-05,,,32,0,1.2339269686490297,0.907399861025624,{},29.036795552819967,1.386075053651662,[],[],0.7271070360926581,1.9730234775318252,1.1308476377349137,4.0,173.84375,2,21,8,,8,scheme_fallback:fmg->sor,20182.060261756134,0.9334244875231604,,,0.00785645549014339,2.7021202183865557e-05,1.3175676403621535,0.9074435729417019,line-sor,VQLS,8.043889570653981,tol_met,32,"{""4"": 32}",1.219545298081215e-13,29.03819433413446,32.0
4,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,26560,True,0.2732049473293594,2,0.7244130467273291,2.708712071693084e-13,,,44,0,0.40594269149005413,0.25473313105546613,"{""max_degree"": 500}",11.20825776644051,1.386075053651662,[],[],0.7244130467273919,1.9657132687151773,1.1306156906006586,4.0,,5512,,11,,11,scheme_fallback:fmg->sor,20181.43065151957,0.9302757149774188,501,1003,0.00783429581611394,5.953402057347673e-07,1.313851350050472,0.25479380282658065,line-sor,QSVT,7.808182201383404,tol_met,44,"{""4"": 44}",,11.21092732436955,44.0
4,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,,True,0.26567273472866626,2,3.3558332053311477,0.0,,,44,0,0.0001910962164402008,5.237559195269238e-05,{},0.0023045260459184647,2.3585701736362874,[],[],3.3558332053311477,0.0015377412943880855,3.3559017845747316,4.0,,,,11,,11,scheme_fallback:fmg->sor,0.09467102063336795,3.355815659697285,,,0.033558291770388354,9.922925679375736e-07,0.0010625518259970847,8.825098418376662e-05,line-sor,Thomas,7.643493380175963,tol_met,44,"{""4"": 44}",,0.0038830433040857315,44.0
4,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,4224,False,0.7721996890699766,2,3.357187401045484,0.06429723359760801,0.061897776980617915,100,88,0,0.5413008388131857,0.3429000680334866,"{""epsilon"": 0.01}",30.17520598694682,2.3585701736362874,[],[],3.3959602727899525,0.0015561286947380418,3.3959602728392846,4.0,,1237,6035,22,,22,scheme_fallback:fmg->sor,0.09489409034763095,3.599349025159937,,,0.03356161581159163,0.0024859538235691868,0.001062657074681207,0.3429739054038443,line-sor,HHL,37.32486057942901,stagnated,88,"{""4"": 88}",,30.1817036755383,88.0
4,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,12,True,0.28447272550148955,2,3.357187401045484,4.3204598041353264e-05,,,36,0,1.2652523275464773,1.0714394588333864,{},38.571820518001914,2.3585701736362874,[],[],3.357188139341666,0.001538362164929516,3.3588994047279277,4.0,189.75,2,21,9,,9,scheme_fallback:fmg->sor,0.09467220056948462,3.357103839110049,,,0.033570923156555285,2.42937717026349e-05,0.001062951771933796,1.0714911264367402,line-sor,VQLS,8.242371644968772,tol_met,36,"{""4"": 36}",1.349568605017263e-13,38.573680551722646,36.0
4,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,26560,True,0.26567273473025343,2,3.3558332053311477,5.713956788605057e-13,,,44,0,0.4097187090665102,0.2552216919985684,"{""max_degree"": 500}",11.229754447937012,2.3585701736362874,[],[],3.3558332053314053,0.0015377412943882035,3.3559017845751034,4.0,,5512,,11,,11,scheme_fallback:fmg->sor,0.09467102063336852,3.3558156596979067,501,1003,0.03355829177038809,9.922925679968534e-07,0.0010625518259970764,0.25528292827816174,line-sor,QSVT,7.643493380210412,tol_met,44,"{""4"": 44}",,11.232448844239116,44.0
4,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,,True,0.26567273472866626,2,3.3558332053311477,0.0,,,44,0,0.00019543617963790894,5.188601260835474e-05,{},0.0022829845547676086,2.3585701736362874,[],[],3.3558332053311477,0.0015377412943880855,3.3559017845747365,4.0,,,,11,,11,scheme_fallback:fmg->sor,0.09467102063336795,3.35581565969727,,,0.03355829177038842,9.922925679375736e-07,0.0010625518259970866,8.699725466695699e-05,line-sor,Thomas,7.643493380175963,tol_met,44,"{""4"": 44}",,0.0038278792053461075,44.0
4,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,4224,False,0.7721996890699766,2,3.357187401045484,0.06429723359760801,0.061897776980617915,100,88,0,0.5276040155440569,0.346140665192665,"{""epsilon"": 0.01}",30.460378536954522,2.3585701736362874,[],[],3.3959602727899525,0.0015561286947380418,3.395960272839297,4.0,,1237,6035,22,,22,scheme_fallback:fmg->sor,0.09489409034763095,3.599349025159921,,,0.03356161581159169,0.0024859538235691868,0.001062657074681209,0.34621208074333315,line-sor,HHL,37.32486057942901,stagnated,88,"{""4"": 88}",,30.466663105413318,88.0
