N,backend_name,case,circuit_depth_t,converged,convergence_factor,discretisation_order,err_thomas_vs_exact,err_vs_thomas,hhl_scale_c,hhl_trotter_steps,inner_calls,inner_failures,inner_max_s,inner_mean_s,inner_options,inner_total_s,kappa_row,level_kappas,level_shapes,linf_err,max_abs_err,max_rel_err,mean_strip_size,n_circuit_evals,n_gates_2q,n_gates_total,n_jacobi_iters,n_levels,n_outer,notes,peak_E_field,peak_E_rel_err,qsvt_degree,qsvt_depth,rel_l2_err,residual,rms_err,s_per_strip_solve,scheme,solver,solves_per_digit,stop_reason,strip_solves,strip_solves_by_size,vqls_final_cost,wall_time_s,weighted_cost
4,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,,True,0.29743102948325006,4,0.16706179402007462,0.0,,,36,0,0.00014128349721431732,4.7234042237202324e-05,{},0.0017004255205392838,2.490868060210798,[],[],0.16706179402007462,7.655261857803658e-05,0.1676697154612567,4.0,,,,9,,9,scheme_fallback:fmg->sor,0.09175228351032198,0.1693235945390814,,,0.0016621840286538446,3.8922918187290574e-05,5.2629516629561573e-05,0.00010531442239880562,line-sor,Thomas,8.545162764394819,tol_met,36,"{""4"": 36}",,0.0037913192063570023,36.0
4,,2D_Poisson_SingleMode_n1m1,3889,False,0.8724290747925161,,0.16706179402007462,1.0693686183628508,0.05932321806316339,,80,0,14.429608032107353,1.0098275210009888,"{""epsilon"": 0.01}",80.7862016800791,2.490868060210798,[],[],0.9679052578354554,0.00044352260465879007,1.566103605067497,4.0,,911,5643,20,,20,scheme_fallback:fmg->sor,0.0953098755350663,4.0532769209309505,,,0.010561689040168416,0.047562304430055234,0.00033441338587880323,1.0098948822822422,line-sor,HHL,71.03991210502831,stagnated,80,"{""4"": 80}",,80.79159058257937,80.0
4,,2D_Poisson_SingleMode_n1m1,12,True,0.29750828816483194,,0.16706179402007462,6.046957190131724e-05,,,36,0,1.5289307441562414,1.0408863841762974,{},37.4719098303467,2.490868060210798,[],[],0.1670763282939842,7.65592786090355e-05,0.16776620372490836,4.0,192.86111111111111,2,21,9,,9,scheme_fallback:fmg->sor,0.0917523882670437,0.1694379612834783,,,0.0016621840770263032,3.900387460034345e-05,5.2629518161172424e-05,1.0409492825985782,line-sor,VQLS,8.546993434657752,tol_met,36,"{""4"": 36}",2.2687407508215074e-13,37.47417417354882,36.0
4,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,26560,True,0.2974310294833522,4,0.16706179402007462,1.8141101297963817e-13,,,36,0,0.28770014084875584,0.2264610674853126,"{""max_degree"": 500}",8.152598429471254,2.490868060210798,[],[],0.16706179402008975,7.655261857804352e-05,0.16766971546173245,4.0,,5512,,9,,9,scheme_fallback:fmg->sor,0.09175228351032202,0.16932359453912685,501,1003,0.0016621840286542206,3.8922918187397483e-05,5.262951662957348e-05,0.22653454997473293,line-sor,QSVT,8.545162764397238,tol_met,36,"{""4"": 36}",,8.155243799090385,36.0
4,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,,True,0.29743102948325006,4,0.16706179402007462,0.0,,,36,0,0.0002411678433418274,5.113276549511486e-05,{},0.0018407795578241348,2.490868060210798,[],[],0.16706179402007462,7.655261857803658e-05,0.1676697154612567,4.0,,,,9,,9,scheme_fallback:fmg->sor,0.09175228351032198,0.16932359453909657,,,0.0016621840286537835,3.8922918187290574e-05,5.2629516629559635e-05,0.00010892676396502389,line-sor,Thomas,8.545162764394819,tol_met,36,"{""4"": 36}",,0.00392136350274086,36.0
4,,2D_Poisson_sin_hom,3889,False,0.8724290747925161,,0.16706179402007462,1.0693686183628508,0.05932321806316339,,80,0,14.457207180559635,1.0112875593593345,"{""epsilon"": 0.01}",80.90300474874675,2.490868060210798,[],[],0.9679052578354707,0.000443522604658797,1.5661036050675214,4.0,,911,5643,20,,20,scheme_fallback:fmg->sor,0.0953098755350663,4.053276920930966,,,0.010561689040168453,0.047562304430055234,0.0003344133858788044,1.011357164545916,line-sor,HHL,71.03991210502831,stagnated,80,"{""4"": 80}",,80.90857316367328,80.0
4,,2D_Poisson_sin_hom,12,True,0.29750828816483194,,0.16706179402007462,6.046957190131724e-05,,,36,0,1.5576893761754036,1.0664297863841057,{},38.391472309827805,2.490868060210798,[],[],0.1670763282939842,7.65592786090355e-05,0.1677662037248961,4.0,192.86111111111111,2,21,9,,9,scheme_fallback:fmg->sor,0.0917523882670437,0.16943796128349348,,,0.0016621840770262419,3.900387460034345e-05,5.262951816117049e-05,1.0664941637983754,line-sor,VQLS,8.546993434657752,tol_met,36,"{""4"": 36}",2.2687407508215074e-13,38.39378989674151,36.0
4,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,26560,True,0.2974310294833522,4,0.16706179402007462,1.8141101297963817e-13,,,36,0,0.28531535528600216,0.2261907252896991,"{""max_degree"": 500}",8.142866110429168,2.490868060210798,[],[],0.16706179402008975,7.655261857804352e-05,0.16766971546173245,4.0,,5512,,9,,9,scheme_fallback:fmg->sor,0.09175228351032202,0.16932359453914203,501,1003,0.0016621840286541593,3.8922918187397483e-05,5.2629516629571535e-05,0.2262636656459007,line-sor,QSVT,8.545162764397238,tol_met,36,"{""4"": 36}",,8.145491963252425,36.0
4,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,,True,0.3140927701106303,4,0.11945617416376338,0.0,,,36,0,0.00020630471408367157,5.26432672308551e-05,{},0.0018951576203107834,1.4151150427212151,[],[],0.11945617416376338,0.32414737371789215,0.19328414996299617,4.0,,,,9,,9,scheme_fallback:fmg->sor,19996.670057745363,0.0062610604717595756,,,0.0007688687873894144,2.478696663403591e-05,0.12894321557854227,0.00011278864824109607,line-sor,Thomas,8.947352699137681,tol_met,36,"{""4"": 36}",,0.004060391336679459,36.0
4,,2D_HET_MMS_SPT100,3842,False,0.8489034601744591,,0.11945617416376338,0.7111284852382707,303.028367149501,,84,0,14.11175055988133,0.6062368484480041,"{""epsilon"": 0.01}",50.92389526963234,1.4151150427212151,[],[],0.7677772822813727,2.0833832273130213,1.6399130807521767,4.0,,911,5586,21,,21,scheme_fallback:fmg->sor,20111.224478145945,0.5791644108360507,,,0.008148487205776628,0.009884913212486782,1.366542847942789,0.6063073885937532,line-sor,HHL,59.03710796744034,stagnated,84,"{""4"": 84}",,50.92982064187527,84.0
4,,2D_HET_MMS_SPT100,12,True,0.31415724883620827,,0.11945617416376338,6.579869087333136e-05,,,36,0,1.219103554263711,0.9498401332336167,{},34.1942447964102,1.4151150427212151,[],[],0.11944100115813859,0.32410620138034574,0.19325959952418378,4.0,175.75,2,21,9,,9,scheme_fallback:fmg->sor,19996.674743008185,0.006284492153912804,,,0.0007686511104148189,2.4827703145813596e-05,0.12890671004011736,0.94990231262313,line-sor,VQLS,8.948938876796092,tol_met,36,"{""4"": 36}",1.144053987347762e-13,34.19648325443268,36.0
