case,solver,param,param_value,plot_position,N,err_alg_pct,err_disc_pct,residual,wall_time_s
3D_HET_MMS_SPT100,hhl,epsilon,0.1,0.1,8,249850365.05105257,1.103250861822027,0.030527480434858638,1301.6010977178812
3D_HET_MMS_SPT100,hhl,epsilon,0.05,0.05,8,249850365.05105257,1.103250861822027,0.030527480434858638,1291.9155444130301
3D_HET_MMS_SPT100,hhl,epsilon,0.01,0.01,8,25947391.491676666,1.103250861822027,0.005049727842244604,2719.6891914904118
3D_HET_MMS_SPT100,hhl,epsilon,0.005,0.005,8,25900070.00618233,1.103250861822027,0.005049725975219426,3248.8742321264
3D_Poisson_TripleSin_cube,hhl,epsilon,0.1,0.1,8,0.929396072619081,1.0216076867791615,0.03551460834963858,1259.7537809088826
3D_Poisson_TripleSin_cube,hhl,epsilon,0.05,0.05,8,0.929396072619081,1.0216076867791615,0.03551460834963858,1272.994608381763
3D_Poisson_TripleSin_cube,hhl,epsilon,0.01,0.01,8,0.22144820250639471,1.0216076867791615,0.008423621498778157,2353.7021716926247
3D_Poisson_TripleSin_cube,hhl,epsilon,0.005,0.005,8,0.13516018263787152,1.0216076867791615,0.004967125530461522,3363.5805979501456
3D_HET_MMS_SPT100,hhl,trotter_steps,1.0,1.0,8,249850365.05105257,1.103250861822027,0.030527480434858638,1332.5266174841672
3D_HET_MMS_SPT100,hhl,trotter_steps,2.0,2.0,8,61561673.7222768,1.103250861822027,0.012108309577275605,2315.3398484513164
3D_HET_MMS_SPT100,hhl,trotter_steps,4.0,4.0,8,15083120.650786472,1.103250861822027,0.0031225900359606977,4187.970163377002
3D_HET_MMS_SPT100,hhl,trotter_steps,8.0,8.0,8,5171748.0781132,1.103250861822027,0.0008079932301211864,7200.959379114211
3D_HET_MMS_SPT100,hhl,trotter_steps,16.0,16.0,8,1299732.710810564,1.103250861822027,0.0002114966755055666,7200.034544374794
3D_Poisson_TripleSin_cube,hhl,trotter_steps,1.0,1.0,8,4.211813031209922,1.0216076867791615,0.15388256059011152,847.5711063072085
3D_Poisson_TripleSin_cube,hhl,trotter_steps,2.0,2.0,8,0.929396072619081,1.0216076867791615,0.03551460834963858,1347.1526387110353
3D_Poisson_TripleSin_cube,hhl,trotter_steps,4.0,4.0,8,0.22144820250639471,1.0216076867791615,0.008423621498778157,2450.1180619709194
3D_Poisson_TripleSin_cube,hhl,trotter_steps,8.0,8.0,8,0.05666277585854001,1.0216076867791615,0.002185028957289029,5023.045101612806
3D_Poisson_TripleSin_cube,hhl,trotter_steps,16.0,16.0,8,0.015772707169780156,1.0216076867791615,0.0006003263859491197,7200.615714609623
