case,order,solver,N,err_alg_pct,err_disc_pct
1D_Poisson_fS_nonhom,2,Thomas,4,,0.18671959589999576
1D_Poisson_fS_nonhom,2,Thomas,8,,0.05350674995584702
1D_Poisson_fS_nonhom,2,Thomas,16,,0.014445701581433407
1D_Poisson_fS_nonhom,2,Thomas,32,,0.0037630511195066363
1D_Poisson_fS_nonhom,2,Thomas,64,,0.0009610357528098976
1D_Poisson_fS_nonhom,2,HHL,4,1.7720186941278933,
1D_Poisson_fS_nonhom,2,HHL,8,1.6688817613775948,
1D_Poisson_fS_nonhom,2,HHL,16,5.354103275738384,
1D_Poisson_fS_nonhom,2,HHL,32,30.270010148067268,
1D_Poisson_fS_nonhom,2,VQLS,4,0.0004203100071940148,
1D_Poisson_fS_nonhom,2,VQLS,8,1.1998681769731194,
1D_Poisson_fS_nonhom,2,VQLS,16,63.68075980390175,
1D_Poisson_fS_nonhom,2,VQLS,32,87.70026061849576,
1D_Poisson_fS_nonhom,2,VQLS,64,99.44249672425312,
1D_Poisson_fS_nonhom,2,QSVT,4,0.0762903508078852,
1D_Poisson_fS_nonhom,2,QSVT,8,0.027453524089480423,
1D_Poisson_fS_nonhom,2,QSVT,16,0.007690962442576792,
1D_Poisson_fS_nonhom,2,QSVT,32,0.0029587047720016444,
1D_Poisson_fS_nonhom,2,QSVT,64,21.48951960951572,
1D_Poisson_fS_nonhom,4,Thomas,4,,0.009317438585666601
1D_Poisson_fS_nonhom,4,Thomas,8,,0.0008547885371145579
1D_Poisson_fS_nonhom,4,Thomas,16,,6.546644947071407e-05
1D_Poisson_fS_nonhom,4,Thomas,32,,4.541537652977382e-06
1D_Poisson_fS_nonhom,4,Thomas,64,,2.9923473862474063e-07
1D_Poisson_fS_nonhom,4,HHL,4,0.45923997671251215,
1D_Poisson_fS_nonhom,4,HHL,8,3.253574307064523,
1D_Poisson_fS_nonhom,4,HHL,16,61.40957911971985,
1D_Poisson_fS_nonhom,4,HHL,32,24.264984040899066,
1D_Poisson_fS_nonhom,4,VQLS,4,0.0010082406470867979,
1D_Poisson_fS_nonhom,4,VQLS,8,13.463344091402202,
1D_Poisson_fS_nonhom,4,VQLS,16,99.2497388705439,
1D_Poisson_fS_nonhom,4,VQLS,32,99.50615998857994,
1D_Poisson_fS_nonhom,4,VQLS,64,104.46672512089745,
1D_Poisson_fS_nonhom,4,QSVT,4,0.06479128419618083,
1D_Poisson_fS_nonhom,4,QSVT,8,0.021214936189657394,
1D_Poisson_fS_nonhom,4,QSVT,16,6.551928196724733e-10,
1D_Poisson_fS_nonhom,4,QSVT,32,2.789563953439264e-09,
1D_Poisson_fS_nonhom,4,QSVT,64,7.749983211248907,
