dim,order,case,N,kappa
1,2,1D_Poisson_fS_nonhom,4,9.472135954999596
1,2,1D_Poisson_fS_nonhom,8,32.16343747752634
1,2,1D_Poisson_fS_nonhom,16,116.46119157748775
1,2,1D_Poisson_fS_nonhom,32,440.6885603836567
1,2,1D_Poisson_fS_nonhom,64,1711.66137582602
1,4,1D_Poisson_fS_nonhom,4,11.947710174364115
1,4,1D_Poisson_fS_nonhom,8,42.137764839337706
1,4,1D_Poisson_fS_nonhom,16,154.512614771818
1,4,1D_Poisson_fS_nonhom,32,586.8093155218731
1,4,1D_Poisson_fS_nonhom,64,2281.4379953842554
2,2,2D_Poisson_sin_hom,4,2.3585701736362874
2,2,2D_Poisson_sin_hom,8,2.7724909572588574
2,2,2D_Poisson_sin_hom,16,2.9330326452100475
2,2,2D_Poisson_sin_hom,32,2.9819693345415943
2,2,2D_Poisson_sin_hom,64,2.9953343557434784
2,2,2D_Poisson_sin_hom,128,2.998814230996823
2,2,2D_Poisson_sin_hom,256,2.9997011690055886
2,4,2D_Poisson_sin_hom,4,2.490868060210798
2,4,2D_Poisson_sin_hom,8,2.9115272727268318
2,4,2D_Poisson_sin_hom,16,3.068749793806094
2,4,2D_Poisson_sin_hom,32,3.116002511532874
3,2,3D_Poisson_TripleSin_cube,4,1.7384968229309907
3,2,3D_Poisson_TripleSin_cube,8,1.9121868224772895
3,2,3D_Poisson_TripleSin_cube,16,1.9746752505183298
3,2,3D_Poisson_TripleSin_cube,32,1.993223226736647
3,2,3D_Poisson_TripleSin_cube,64,1.9982493624222843
3,4,3D_Poisson_TripleSin_cube,4,1.7998995126489068
3,4,3D_Poisson_TripleSin_cube,8,1.9784973007217512
3,4,3D_Poisson_TripleSin_cube,16,2.0413918419321933
3,4,3D_Poisson_TripleSin_cube,32,2.0599155168033874
