case,order,solver,N,wall_time_s,terminated,notes
1D_Poisson_fS_nonhom,2,Thomas,4,3.3671967685222626e-05,False,
1D_Poisson_fS_nonhom,2,Thomas,8,4.5301043428480625e-05,False,
1D_Poisson_fS_nonhom,2,Thomas,16,6.685091648250818e-05,False,
1D_Poisson_fS_nonhom,2,Thomas,32,9.979202877730131e-05,False,
1D_Poisson_fS_nonhom,2,Thomas,64,0.00016815494745969772,False,
1D_Poisson_fS_nonhom,2,HHL,4,62.383578125038184,False,
1D_Poisson_fS_nonhom,2,HHL,8,67.36696064798161,False,
1D_Poisson_fS_nonhom,2,HHL,16,113.66466513893101,False,
1D_Poisson_fS_nonhom,2,HHL,32,4378.587748423102,False,
1D_Poisson_fS_nonhom,2,HHL,64,5400.202263290994,True,hhl_timeout:5400s
1D_Poisson_fS_nonhom,2,VQLS,4,4.234421457978897,False,
1D_Poisson_fS_nonhom,2,VQLS,8,105.00435201101936,False,
1D_Poisson_fS_nonhom,2,VQLS,16,231.2334850289626,False,
1D_Poisson_fS_nonhom,2,VQLS,32,431.06071454600897,False,
1D_Poisson_fS_nonhom,2,VQLS,64,921.4400803699391,False,
1D_Poisson_fS_nonhom,2,QSVT,4,0.4864988960325718,False,
1D_Poisson_fS_nonhom,2,QSVT,8,2.400325158960186,False,
1D_Poisson_fS_nonhom,2,QSVT,16,9.025045203976333,False,
1D_Poisson_fS_nonhom,2,QSVT,32,2.5989223340293393,False,
1D_Poisson_fS_nonhom,2,QSVT,64,3.2215670379810035,False,
1D_Poisson_fS_nonhom,4,Thomas,4,2.6360969059169292e-05,False,
1D_Poisson_fS_nonhom,4,Thomas,8,2.8870999813079834e-05,False,
1D_Poisson_fS_nonhom,4,Thomas,16,2.8201029635965824e-05,False,
1D_Poisson_fS_nonhom,4,Thomas,32,4.109193105250597e-05,False,
1D_Poisson_fS_nonhom,4,Thomas,64,8.210353553295135e-05,False,
1D_Poisson_fS_nonhom,4,HHL,4,26.256325490074232,False,
1D_Poisson_fS_nonhom,4,HHL,8,46.081569183967076,False,
1D_Poisson_fS_nonhom,4,HHL,16,220.4071540470468,False,
1D_Poisson_fS_nonhom,4,HHL,32,2449.8560626329854,False,
1D_Poisson_fS_nonhom,4,HHL,64,21608.72663945146,True,hhl_timeout:21600s
1D_Poisson_fS_nonhom,4,VQLS,4,3.1699476040666923,False,
1D_Poisson_fS_nonhom,4,VQLS,8,117.19064821593929,False,
1D_Poisson_fS_nonhom,4,VQLS,16,258.9750891890144,False,
1D_Poisson_fS_nonhom,4,VQLS,32,545.397225984023,False,
1D_Poisson_fS_nonhom,4,VQLS,64,1116.3142450777814,False,
1D_Poisson_fS_nonhom,4,QSVT,4,0.7620482339989394,False,
1D_Poisson_fS_nonhom,4,QSVT,8,3.829618260031566,False,
1D_Poisson_fS_nonhom,4,QSVT,16,8.607204096042551,False,
1D_Poisson_fS_nonhom,4,QSVT,32,8.088541022967547,False,
1D_Poisson_fS_nonhom,4,QSVT,64,8.401716297492385,False,
