panel,backend,resilience_level,degree_or_N,two_qubit_gates,depth_or_degree,fidelity_or_kappa,fidelity_std_err
fidelity_vs_degree,ibm_kingston,1,0,0,3,1.0141483926060404,0.0037648459378874094
fidelity_vs_degree,ibm_kingston,1,1,37,154,0.921846405331723,0.006049690938514334
fidelity_vs_degree,ibm_kingston,1,3,111,443,0.7920585994952467,0.006457608918183359
fidelity_vs_degree,ibm_kingston,1,5,185,738,0.6520388067552476,0.007565139196533486
fidelity_vs_degree,ibm_kingston,1,7,259,1027,0.49470073708719237,0.0075080228926255885
fidelity_vs_degree,ibm_kingston,0,0,0,3,0.9656982421875,0.002021132668361746
fidelity_vs_degree,ibm_kingston,0,1,37,151,0.8862971723904466,0.005419110321879116
fidelity_vs_degree,ibm_kingston,0,3,111,443,0.7523665567153773,0.006348548917045527
fidelity_vs_degree,ibm_kingston,0,5,185,735,0.6055352135309018,0.006659515280444859
fidelity_vs_degree,ibm_kingston,0,7,259,1027,0.5408488126654883,0.006897831881582586
fidelity_vs_degree,ibm_kingston,0,0,0,3,0.9649658203125,0.0020406295072334527
fidelity_vs_degree,ibm_kingston,0,11,407,1614,0.34987200855827266,0.007171923075491466
fidelity_vs_degree,ibm_kingston,0,21,777,3074,0.15397208055675932,0.007298553363164225
fidelity_vs_degree,ibm_kingston,0,31,1147,4534,0.11178846823803726,0.007303202189500759
fidelity_vs_degree,ibm_kingston,0,41,1517,5994,0.12501096678559015,0.007305748862068446
fidelity_vs_degree,ibm_kingston,0,63,2331,9203,0.12224507485295273,0.007306817131423525
two_qubit_vs_N,transpiled,,4,694,63,9.0,
two_qubit_vs_N,transpiled,,8,10035,127,32.0,
two_qubit_vs_N,transpiled,,16,113223,255,117.0,
two_qubit_vs_N,transpiled,,32,954552,511,441.0,
