solver,xi,z_mm,phi_code,E_axial_code_per_mm,phi_exact_code
Thomas,0.030303030303030304,1.2121212121212122,6872416.55124666,-5669453.841580967,
Thomas,0.06060606060606061,2.4242424242424243,13744481.813769044,-5669391.823005235,
Thomas,0.09090909090909091,3.6363636363636362,20616396.728229046,-5669158.379313627,
Thomas,0.12121212121212122,4.848484848484849,27487896.066650562,-5668540.163790906,
Thomas,0.15151515151515152,6.0606060606060606,34358312.27681306,-5666995.354138356,
Thomas,0.18181818181818182,7.2727272727272725,41226066.62213748,-5663352.89152175,
Thomas,0.21212121212121213,8.484848484848486,48087652.6198961,-5655248.7354279235,
Thomas,0.24242424242424243,9.696969696969697,54935760.52620517,-5638234.192967854,
Thomas,0.2727272727272727,10.909090909090908,61756099.14830301,-5604525.692923747,
Thomas,0.30303030303030304,12.121212121212121,68522489.47874758,-5541506.652890611,
Thomas,0.33333333333333337,13.333333333333336,75190054.6704621,-5430327.472819474,
Thomas,0.36363636363636365,14.545454545454545,81686919.7158857,-5245230.137948666,
Thomas,0.3939393939393939,15.757575757575758,87905764.09579219,-4954421.639649034,
Thomas,0.42424242424242425,16.969696969696972,93697638.84230763,-4523251.218266062,
Thomas,0.4545454545454546,18.181818181818183,98871221.594619,-3919955.9228052497,
Thomas,0.48484848484848486,19.393939393939394,103200562.29153247,-3123331.4573421553,
Thomas,0.5151515151515151,20.606060606060606,106442934.21847877,-2130619.8742355406,
Thomas,0.5454545454545454,21.818181818181817,108365701.38058831,-963163.3817055747,
Thomas,0.5757575757575758,23.03030303030303,108777875.74988621,332548.0241282061,
Thomas,0.6060606060606061,24.242424242424242,107559524.35239871,1689695.304601185,
Thomas,0.6363636363636364,25.454545454545457,104681644.70842879,3031215.821212761,
Thomas,0.6666666666666667,26.66666666666667,100211122.36157987,4282682.143462844,
Thomas,0.696969696969697,27.878787878787882,94299384.96670069,5384454.190187708,
Thomas,0.7272727272727273,29.09090909090909,87157900.08233699,6299859.972334042,
Thomas,0.7575757575757576,30.303030303030305,79026997.15498179,7017625.878913626,
Thomas,0.7878787878787878,31.515151515151516,70145473.70921305,7548750.71477079,
Thomas,0.8181818181818182,32.72727272727273,60726995.42220414,7919646.366345856,
Thomas,0.8484848484848485,33.939393939393945,50946331.00292002,8164070.667369455,
Thomas,0.8787878787878788,35.15151515151515,40935308.95585395,8316079.960541053,
Thomas,0.9090909090909092,36.36363636363637,30786137.159184154,8405292.129836867,
Thomas,0.9393939393939394,37.575757575757585,20558843.18655235,8454700.537234023,
Thomas,0.9696969696969697,38.78787878787879,10289893.432556232,8471883.547046853,
HHL,0.030303030303030304,1.2121212121212122,6600081.338064704,-5471255.5735476,6872416.55124666
HHL,0.06060606060606061,2.4242424242424243,13231906.275698159,-5414693.887345137,13744481.813769044
HHL,0.09090909090909091,3.6363636363636362,19726611.97405291,-5379765.855891848,20616396.728229046
HHL,0.12121212121212122,4.848484848484849,26273762.89604203,-5342500.896548555,27487896.066650562
HHL,0.15151515151515152,6.0606060606060606,32678129.29901911,-5298845.788165521,34358312.27681306
HHL,0.18181818181818182,7.2727272727272725,39119449.65523117,-5263699.418904081,41226066.62213748
HHL,0.21212121212121213,8.484848484848486,45438612.738786586,-5224663.66800537,48087652.6198961
HHL,0.24242424242424243,9.696969696969697,51785300.97160783,-5202404.461796291,54935760.52620517
HHL,0.2727272727272727,10.909090909090908,58050502.34314122,-5175036.714845266,61756099.14830301
HHL,0.30303030303030304,12.121212121212121,64330844.52274786,-5140388.171864837,68522489.47874758
HHL,0.33333333333333337,13.333333333333336,70512049.42644994,-5083513.208016936,75190054.6704621
HHL,0.36363636363636365,14.545454545454545,76654512.90581922,-4962421.025654819,81686919.7158857
HHL,0.3939393939393939,15.757575757575758,82542161.00379494,-4751558.701095428,87905764.09579219
HHL,0.42424242424242425,16.969696969696972,88173443.09029302,-4400685.269247219,93697638.84230763
HHL,0.4545454545454546,18.181818181818183,93210488.92924276,-3854290.6192414537,98871221.594619
HHL,0.48484848484848486,19.393939393939394,97517177.92481776,-3103912.5304566324,103200562.29153247
HHL,0.5151515151515151,20.606060606060606,100735125.36671337,-2106745.5523863286,106442934.21847877
HHL,0.5454545454545454,21.818181818181817,102624439.86999673,-925577.3530847803,108365701.38058831
HHL,0.5757575757575758,23.03030303030303,102978949.25297953,425176.24731071293,108777875.74988621
HHL,0.6060606060606061,24.242424242424242,101593709.5734859,1826321.4763348252,107559524.35239871
HHL,0.6363636363636364,25.454545454545457,98551503.24974358,3209110.636003658,104681644.70842879
HHL,0.6666666666666667,26.66666666666667,93814047.42559822,4466273.762075648,100211122.36157987
HHL,0.696969696969697,27.878787878787882,87724172.91743897,5532544.539969854,94299384.96670069
HHL,0.7272727272727273,29.09090909090909,80401818.23779254,6357105.138973575,87157900.08233699
HHL,0.7575757575757576,30.303030303030305,72313008.9441697,6948080.11333048,79026997.15498179
HHL,0.7878787878787878,31.515151515151516,63557987.66002167,7309028.669590481,70145473.70921305
HHL,0.8181818181818182,32.72727272727273,54594151.56334431,7505652.005597588,60726995.42220414
HHL,0.8484848484848485,33.939393939393945,45362467.64645172,7566817.057736177,50946331.00292002
HHL,0.8787878787878788,35.15151515151515,36250352.635499045,7555955.008444337,40935308.95585395
HHL,0.9090909090909092,36.36363636363637,27045000.959313948,7506899.357112502,30786137.159184154
HHL,0.9393939393939394,37.575757575757585,18051808.73946865,7452995.901305679,20558843.18655235
HHL,0.9696969696969697,38.78787878787879,8977132.10766383,7486608.221239026,10289893.432556232
VQLS,0.030303030303030304,1.2121212121212122,-517513.8562713101,315645.96997277305,6872416.55124666
VQLS,0.06060606060606061,2.4242424242424243,-900115.0319958836,240152.88830393698,13744481.813769044
VQLS,0.09090909090909091,3.6363636363636362,-1099702.6764020664,95230.36386060668,20616396.728229046
VQLS,0.12121212121212122,4.848484848484849,-1130976.5201428088,-13958.927685806819,27487896.066650562
VQLS,0.15151515151515152,6.0606060606060606,-1065862.8517092015,-61557.82865628827,34358312.27681306
VQLS,0.18181818181818182,7.2727272727272725,-981745.4203699889,-35973.03712953755,41226066.62213748
VQLS,0.21212121212121213,8.484848484848486,-978655.4889709287,49003.50125593698,48087652.6198961
VQLS,0.24242424242424243,9.696969696969697,-1100541.787051048,165012.59403396992,54935760.52620517
VQLS,0.2727272727272727,10.909090909090908,-1378686.0199623706,236803.85629634914,61756099.14830301
VQLS,0.30303030303030304,12.121212121212121,-1674611.7417088638,192781.61622184154,68522489.47874758
