case,solver,N,error_kind,error_pct,wall_time_s
2D_HET_MMS_SPT100,Thomas,8,disc,0.23005626959421624,0.036829544231295586
2D_HET_MMS_SPT100,Thomas,16,disc,0.06270927929280737,0.06341118738055229
2D_HET_MMS_SPT100,Thomas,32,disc,0.016396527876923254,0.10979699902236462
2D_HET_MMS_SPT100,Thomas,64,disc,0.004193904266462434,0.29067859053611755
2D_HET_MMS_SPT100,HHL,8,alg,0.0784547350237546,246.623840065673
2D_HET_MMS_SPT100,HHL,16,alg,0.1353418863196512,1360.3540494907647
2D_HET_MMS_SPT100,HHL,32,alg,0.20542565939750568,15654.60901882872
2D_HET_MMS_SPT100,HHL,64,alg,0.3400726206093002,
2D_HET_MMS_SPT100,VQLS,8,alg,0.027620722257879975,1814.891440341249
2D_HET_MMS_SPT100,VQLS,16,alg,0.11035296554728515,11160.33312602155
2D_HET_MMS_SPT100,VQLS,32,alg,8.704988216387662,57842.6507867109
2D_HET_MMS_SPT100,VQLS,64,alg,24.162892752490627,
2D_HET_MMS_SPT100,QSVT,8,alg,1.1476560647795166e-12,127.97479995526373
2D_HET_MMS_SPT100,QSVT,16,alg,3.2387090820543755e-12,224.46626434102654
2D_HET_MMS_SPT100,QSVT,32,alg,3.549491490245979e-11,364.3559304047376
2D_HET_MMS_SPT100,QSVT,64,alg,7.637100026763239e-11,730.1584220547229
