dim,order,case,N_coarse,N_fine,err_disc_coarse_pct,err_disc_fine_pct,p_observed,note
1,2,1D_Poisson_fH_hom,4,8,12.403473458920836,3.8801683098309727,1.676553049793451,
1,2,1D_Poisson_fH_hom,8,16,3.8801683098309727,1.092325518688545,1.8287163825064399,
1,2,1D_Poisson_fH_hom,16,32,1.092325518688545,0.2902503894609795,1.9120329429326755,
1,2,1D_Poisson_fH_hom,32,64,0.2902503894609795,0.07483795248620066,1.9554560098067066,
1,2,1D_Poisson_fL_hom,4,8,2.958754302057199e-14,2.2755070795359746e-14,,exact to round-off
1,2,1D_Poisson_fL_hom,8,16,2.2755070795359746e-14,2.350390087137193e-14,,exact to round-off
1,2,1D_Poisson_fL_hom,16,32,2.350390087137193e-14,2.7475389837926727e-13,,exact to round-off
1,2,1D_Poisson_fL_hom,32,64,2.7475389837926727e-13,7.145270728247193e-13,,exact to round-off
1,2,1D_Poisson_fS_hom,4,8,3.35583911026996,1.0216075566190936,1.7158324484825918,
1,2,1D_Poisson_fS_hom,8,16,1.0216075566190936,0.28507727944407685,1.8414161348105373,
1,2,1D_Poisson_fS_hom,16,32,0.28507727944407685,0.07555921656026102,1.9156734133288735,
1,2,1D_Poisson_fS_hom,32,64,0.07555921656026102,0.01946894926596214,1.9564327188540938,
1,2,1D_Poisson_fS_nonhom,4,8,0.18671959589999576,0.05350674995584702,1.8030805376437313,
1,2,1D_Poisson_fS_nonhom,8,16,0.05350674995584702,0.014445701581433407,1.8890806284341055,
1,2,1D_Poisson_fS_nonhom,16,32,0.014445701581433407,0.0037630511195066363,1.940665479606767,
1,2,1D_Poisson_fS_nonhom,32,64,0.0037630511195066363,0.0009610357528098976,1.9692408791714366,
1,2,HET_1D_3a_linear_hom,4,8,7.026433144529026e-14,2.0167869729911168e-13,,exact to round-off
1,2,HET_1D_3a_linear_hom,8,16,2.0167869729911168e-13,1.0332049157908571e-13,,exact to round-off
1,2,HET_1D_3a_linear_hom,16,32,1.0332049157908571e-13,2.0698424990606067e-13,,exact to round-off
1,2,HET_1D_3a_linear_hom,32,64,2.0698424990606067e-13,6.203268761113294e-13,,exact to round-off
1,2,HET_1D_3c_gaussian_NeumannDirichlet,4,8,1.5128780504088435,0.36114495847762146,2.06664576408575,
1,2,HET_1D_3c_gaussian_NeumannDirichlet,8,16,0.36114495847762146,0.08980655911315805,2.0076853081184187,
1,2,HET_1D_3c_gaussian_NeumannDirichlet,16,32,0.08980655911315805,0.02251695571163801,1.9958090290180264,
1,2,HET_1D_3c_gaussian_NeumannDirichlet,32,64,0.02251695571163801,0.005646030173824616,1.995703044441498,
1,4,1D_Poisson_fH_hom,4,8,5.303157136820427,1.5240196916751068,1.7989699534881682,
1,4,1D_Poisson_fH_hom,8,16,1.5240196916751068,0.4015357684746456,1.9242811311784236,
1,4,1D_Poisson_fH_hom,16,32,0.4015357684746456,0.1021402097416878,1.9749775808550691,
1,4,1D_Poisson_fH_hom,32,64,0.1021402097416878,0.025671621645205478,1.9923045894940596,
1,4,1D_Poisson_fL_hom,4,8,4.5836824549548313e-14,4.1268079082240595e-14,,exact to round-off
1,4,1D_Poisson_fL_hom,8,16,4.1268079082240595e-14,2.324603876373811e-13,,exact to round-off
1,4,1D_Poisson_fL_hom,16,32,2.324603876373811e-13,4.967885412266954e-13,,exact to round-off
1,4,1D_Poisson_fL_hom,32,64,4.967885412266954e-13,1.6079341725943376e-12,,exact to round-off
1,4,1D_Poisson_fS_hom,4,8,0.1674587215265771,0.01632052833565475,3.3590458491741075,
1,4,1D_Poisson_fS_hom,8,16,0.01632052833565475,0.0012919412164736725,3.6590754278642192,
1,4,1D_Poisson_fS_hom,16,32,0.0012919412164736725,9.119062506390022e-05,3.824511104028524,
1,4,1D_Poisson_fS_hom,32,64,9.119062506390022e-05,6.061957342321523e-06,3.911029909321938,
1,4,1D_Poisson_fS_nonhom,4,8,0.009317438585666601,0.0008547885371145579,3.446293938292415,
1,4,1D_Poisson_fS_nonhom,8,16,0.0008547885371145579,6.546644947071407e-05,3.7067399187420276,
1,4,1D_Poisson_fS_nonhom,16,32,6.546644947071407e-05,4.541537652977382e-06,3.8495029910390497,
1,4,1D_Poisson_fS_nonhom,32,64,4.541537652977382e-06,2.9923473862474063e-07,3.9238312665269435,
1,4,HET_1D_3a_linear_hom,4,8,7.026433144529026e-14,2.240168791132062e-13,,exact to round-off
1,4,HET_1D_3a_linear_hom,8,16,2.240168791132062e-13,8.373538990965411e-14,,exact to round-off
1,4,HET_1D_3a_linear_hom,16,32,8.373538990965411e-14,2.602500589180895e-13,,exact to round-off
1,4,HET_1D_3a_linear_hom,32,64,2.602500589180895e-13,6.846676401628496e-13,,exact to round-off
1,4,HET_1D_3c_gaussian_NeumannDirichlet,4,8,0.33734072180546415,0.07541222094488116,2.1613362387730692,
1,4,HET_1D_3c_gaussian_NeumannDirichlet,8,16,0.07541222094488116,0.019275715057642508,1.9680139589418608,
1,4,HET_1D_3c_gaussian_NeumannDirichlet,16,32,0.019275715057642508,0.00484677103504267,1.9916885445030421,
1,4,HET_1D_3c_gaussian_NeumannDirichlet,32,64,0.00484677103504267,0.0012101878894840831,2.001792877550345,
2,2,2D_HET_MMS_SPT100,4,8,0.7244130467273291,0.21688124027700256,1.7399072609156865,
2,2,2D_HET_MMS_SPT100,8,16,0.21688124027700256,0.06019983968724437,1.8490737184484918,
2,2,2D_HET_MMS_SPT100,16,32,0.06019983968724437,0.01602211739904612,1.9096948257193866,
2,2,2D_HET_MMS_SPT100,32,64,0.01602211739904612,0.0041492807889314445,1.9491316240918903,
2,2,2D_HET_MMS_SPT100,64,128,0.0041492807889314445,0.0010912110689074753,1.9269311063542354,
2,2,2D_HET_MMS_SPT100,128,256,0.0010912110689074753,0.0003116027021262302,1.8081505346110462,
2,2,2D_HET_Sin_MeetingReport,4,8,3.355821521286453,1.0216112415879548,1.7158196830203851,
2,2,2D_HET_Sin_MeetingReport,8,16,1.0216112415879548,0.28508252705974413,1.841394782198949,
2,2,2D_HET_Sin_MeetingReport,16,32,0.28508252705974413,0.07556164095691081,1.9156536801353088,
2,2,2D_HET_Sin_MeetingReport,32,64,0.07556164095691081,0.019470630668264596,1.9563544179990444,
2,2,2D_HET_Sin_MeetingReport,64,128,0.019470630668264596,0.0049434314890730215,1.9777148715783783,
2,2,2D_HET_Sin_MeetingReport,128,256,0.0049434314890730215,0.0012461970809436254,1.987980595400803,
2,2,2D_Poisson_SingleMode_n1m1,4,8,3.3558332053311477,1.0216112343564234,1.715824716289942,
2,2,2D_Poisson_SingleMode_n1m1,8,16,1.0216112343564234,0.28507920198245496,1.8414115990457125,
2,2,2D_Poisson_SingleMode_n1m1,16,32,0.28507920198245496,0.07556067766416402,1.9156552452990385,
2,2,2D_Poisson_SingleMode_n1m1,32,64,0.07556067766416402,0.019469347124370116,1.956431134326332,
2,2,2D_Poisson_SingleMode_n1m1,64,128,0.019469347124370116,0.004942656262273413,1.977846023585617,
2,2,2D_Poisson_SingleMode_n1m1,128,256,0.004942656262273413,0.0012452694741924579,1.9888286047099686,
2,2,2D_Poisson_TwoGaussian_PlasmaNet,4,8,2.708043810353153,4.046810721596226,-0.5795342936862741,
2,2,2D_Poisson_TwoGaussian_PlasmaNet,8,16,4.046810721596226,1.209041181959984,1.7429219864818757,
2,2,2D_Poisson_TwoGaussian_PlasmaNet,16,32,1.209041181959984,0.31116327169595215,1.9581196997301824,
